T,pH,a_H2O,a_CO2,a_CO2factor
0,10,0.993514,1.14E-05,2.457846952
10,9.873289548,0.993522621,1.23413E-05,2.495212251
20,9.770507117,0.99353384,1.34422E-05,2.525779298
30,9.683595395,0.993548151,1.47579E-05,2.547101305
40,9.610312508,0.993565354,1.63606E-05,2.557939214
50,9.548884213,0.993585306,1.83285E-05,2.557708271
60,9.497859218,0.993607926,2.07531E-05,2.540155225
70,9.455969916,0.993633186,2.3748E-05,2.509036963
80,9.422025228,0.993661115,2.74628E-05,2.454227727
90,9.394848698,0.993691792,3.20993E-05,2.377728076
100,9.373262251,0.993725348,3.79344E-05,2.278341015
110,9.356107089,0.993761965,4.53485E-05,2.168745505
120,9.342287964,0.993801879,5.48633E-05,2.047901931
130,9.330824764,0.993845386,6.71905E-05,1.924677362
140,9.320896435,0.993892839,8.32957E-05,1.805674101
150,9.311866937,0.993944663,0.000104484,1.696445056
160,9.303290067,0.994001358,0.000132514,1.5944413
170,9.294896623,0.994063507,0.000169752,1.506232772
180,9.286570951,0.994131794,0.000219384,1.431079453
190,9.278323726,0.994207014,0.000285702,1.368960681
200,9.270265212,0.994290089,0.000374505,1.318214018
