,E,PS,PT,PG,SimID
0,0.1,3.0743247368780345e-11,3.071322466627177e-11,2.93689365325425e-14,15900_250420
1,0.5,3.074324628973589e-11,3.059313278246179e-11,1.494612237920869e-13,15910_250420
2,1.0,3.0743246130759905e-11,3.04430191177642e-11,2.995777726960946e-13,15919_250420
3,1.5,3.074324613273393e-11,3.029290561321146e-11,4.4969448255012354e-13,15929_250420
4,2.0,3.074324607395387e-11,3.014279204907196e-11,5.998111316500622e-13,15937_250420
5,2.5,3.074324607246676e-11,2.999267854140068e-11,7.499278380429542e-13,15947_250420
6,3.0,3.0743246073906037e-11,2.984256503658457e-11,9.000445473622256e-13,15956_250420
7,3.5,3.0743240369125547e-11,2.9662423324898476e-11,1.0801788920377352e-12,15964_250420
8,4.0,3.07432459297948e-11,2.954233788566219e-11,1.2002778190109857e-12,15971_250420
9,4.5,3.074324603471923e-11,2.939222448045911e-11,1.3503946318154154e-12,15981_250420
10,5.0,3.074324603471285e-11,2.9242110974424136e-11,1.5005113396890313e-12,15990_250420
11,5.5,3.0743242406182444e-11,2.906197133709434e-11,1.6806477606146302e-12,15997_250420
12,6.0,3.074324603470326e-11,2.8941883962357364e-11,1.800744755439443e-12,16005_250420
13,6.5,3.0743249112467253e-11,2.882179604293805e-11,1.920841199507438e-12,16009_250420
14,7.0,3.074324036908383e-11,2.8581606280632625e-11,2.161019188732014e-12,16016_250420
15,7.5,3.074324332941439e-11,2.8461518238559417e-11,2.281115515366572e-12,16024_250420
16,8.0,3.0743246034691304e-11,2.8341429938231045e-11,2.401211586947484e-12,16030_250420
17,8.5,3.074324844586026e-11,2.8221341346785784e-11,2.521307364420437e-12,16038_250420
18,9.0,3.074324603468732e-11,2.8041202926169882e-11,2.7014450027035016e-12,16047_250420
19,9.5,3.074324391599485e-11,2.7861064798870335e-11,2.8815829334670296e-12,16052_250420
20,10.0,3.074324601510672e-11,2.774097589644395e-11,3.001678398882893e-12,16060_250420
