,name,e,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH
0,Methanobacterium_alcaliphilum,0.98974609375,3.225651438945307e-12,3.259069633428707e-12,3.3380188514792776e-14,4897_220420,Methanobacterium_alcaliphilum106_220420,310.0,8.6
1,Methanobacterium_arcticum,0.99365234375,4.734302269030247e-13,4.764545969028966e-13,3.022950338959798e-15,4908_220420,Methanobacterium_arcticum108_220420,310.0,7.0
2,Methanobacterium_bryantii,0.982421875,8.973833899762274e-13,9.134399516259014e-13,1.605298723420003e-14,4917_220420,Methanobacterium_bryantii83_220420,310.0,6.95
3,Methanobacterium_congolense,0.997802734375,5.9766367221567965e-12,5.989797899181365e-12,1.2908953036360375e-14,4929_220420,Methanobacterium_congolense116_220420,312.5,7.2
4,Methanobacterium_espanolae,0.9910888671875,3.411207525185272e-12,3.4418785621773307e-12,3.041071529646752e-14,4942_220420,Methanobacterium_espanolae112_220420,308.0,5.9
5,Methanobacterium_ferruginis,0.998046875,9.677086021298171e-13,9.69602356732811e-13,9.380808226427332e-16,4952_220420,Methanobacterium_ferruginis129_220420,313.0,6.75
6,Methanobacterium_kanagiense,0.9967041015625,6.783877193716341e-13,6.806310100541857e-13,2.2408196270198327e-15,4965_220420,Methanobacterium_kanagiense109_220420,313.0,8.0
7,Methanobacterium_movens,0.9957275390625,5.111931435011281e-13,5.133865675568519e-13,2.1904502889093796e-15,4978_220420,Methanobacterium_movens116_220420,309.5,7.5
8,Methanobacterium_palustre,0.99609375,1.0642460554928254e-12,1.0684195694359344e-12,4.171300232618204e-15,4986_220420,Methanobacterium_palustre101_220420,308.0,7.0
9,Methanobacterium_petrolearium,0.9970703125,2.269303768647509e-13,2.275971654353623e-13,6.659544727420836e-16,4996_220420,Methanobacterium_petrolearium115_220420,308.0,6.5
10,Methanobacterium_thermaggregans,0.998046875,2.8647762858603152e-11,2.8703825016839167e-11,2.7272488630328007e-14,5006_220420,Methanobacterium_thermaggregans132_220420,338.0,7.25
11,Methanobacterium_veterum,0.99462890625,4.664841195091325e-13,4.690031795555736e-13,2.5167057221261898e-15,5017_220420,Methanobacterium_veterum96_220420,301.0,7.1
12,Methanobrevibacter_acididurans,0.9990234375,1.2379429002562773e-12,1.239153010618209e-12,1.2039039851456249e-15,5027_220420,Methanobrevibacter_acididurans123_220420,308.0,6.0
