,name,e,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH
0,Methanobacterium_alcaliphilum,0.98486328125,2.139825465144451e-12,2.1727132139890113e-12,3.2862659674830625e-14,899_210420,Methanobacterium_alcaliphilum29_210420,310.0,8.6
1,Methanobacterium_arcticum,0.990234375,3.145344730041774e-13,3.17636390883903e-13,3.100967712179451e-15,908_210420,Methanobacterium_arcticum28_210420,310.0,7.0
2,Methanobacterium_bryantii,0.974609375,5.934981177942506e-13,6.089599926065257e-13,1.545953504327911e-14,917_210420,Methanobacterium_bryantii27_210420,310.0,6.95
3,Methanobacterium_congolense,0.99658203125,3.979548149715887e-12,3.993196771493453e-12,1.3478856114114754e-14,928_210420,Methanobacterium_congolense26_210420,312.5,7.2
4,Methanobacterium_espanolae,0.986572265625,2.2637743373881697e-12,2.294585420921045e-12,3.063803963340708e-14,940_210420,Methanobacterium_espanolae30_210420,308.0,5.9
5,Methanobacterium_ferruginis,0.998046875,6.451343887697241e-13,6.463968826812108e-13,6.206987402918346e-16,950_210420,Methanobacterium_ferruginis33_210420,313.0,6.75
6,Methanobacterium_kanagiense,0.9951171875,4.515384166297777e-13,4.5375401239341745e-13,2.2139566789820495e-15,963_210420,Methanobacterium_kanagiense24_210420,313.0,8.0
7,Methanobacterium_movens,0.9935302734375,3.4004339187773795e-13,3.4225770564718383e-13,2.2123296146739747e-15,976_210420,Methanobacterium_movens30_210420,309.5,7.5
8,Methanobacterium_palustre,0.994140625,7.081061990157145e-13,7.122797129588326e-13,4.1720410313973256e-15,985_210420,Methanobacterium_palustre26_210420,308.0,7.0
9,Methanobacterium_petrolearium,0.99560546875,1.5106465505299504e-13,1.5173144362360659e-13,6.662333222915895e-16,996_210420,Methanobacterium_petrolearium32_210420,308.0,6.5
10,Methanobacterium_thermaggregans,0.998046875,1.909829493291997e-11,1.9135669286996135e-11,1.796760110800149e-14,1006_210420,Methanobacterium_thermaggregans30_210420,338.0,7.25
