,Time_nATP05,Pop_nATP05,Time_nATP10,Pop_nATP10,Time_nATP15,Pop_nATP15
0,1400.0,508.0,1400.0,503.0,1400.0,500.0
1,2800.0,517.0,2800.0,506.0,2800.0,500.0
2,4200.0,526.0,4200.0,509.0,4200.0,500.0
3,5600.0,534.0,5600.0,512.0,5600.0,500.0
4,7000.0,543.0,7000.0,515.0,7000.0,500.0
5,8400.0,552.0,8400.0,518.0,8400.0,500.0
6,9800.0,562.0,9800.0,522.0,9800.0,500.0
7,11200.0,571.0,11200.0,525.0,11200.0,500.0
8,12600.0,581.0,12600.0,528.0,12600.0,500.0
9,14000.0,590.0,14000.0,531.0,14000.0,500.0
10,15400.0,600.0,15400.0,534.0,15400.0,500.0
11,16800.0,610.0,16800.0,537.0,16800.0,500.0
12,18200.0,620.0,18200.0,541.0,18200.0,500.0
13,19600.0,631.0,19600.0,544.0,19600.0,500.0
14,21000.0,641.0,21000.0,547.0,21000.0,500.0
15,22400.0,652.0,22400.0,551.0,22400.0,500.0
16,23800.0,663.0,23800.0,554.0,23800.0,500.0
17,25200.0,674.0,25200.0,557.0,25200.0,500.0
18,26600.0,685.0,26600.0,561.0,26600.0,500.0
19,28000.0,697.0,28000.0,564.0,28000.0,500.0
20,29400.0,708.0,29400.0,567.0,29400.0,500.0
21,30800.0,720.0,30800.0,571.0,30800.0,500.0
22,32200.0,732.0,32200.0,574.0,32200.0,500.0
23,33600.0,744.0,33600.0,578.0,33600.0,500.0
24,35000.0,757.0,35000.0,581.0,35000.0,500.0
25,36400.0,770.0,36400.0,585.0,36400.0,500.0
26,37800.0,782.0,37800.0,588.0,37800.0,500.0
27,39200.0,796.0,39200.0,592.0,39200.0,500.0
28,40600.0,809.0,40600.0,595.0,40600.0,500.0
29,42000.0,822.0,42000.0,599.0,42000.0,500.0
30,43400.0,836.0,43400.0,603.0,43400.0,500.0
31,44800.0,850.0,44800.0,606.0,44800.0,500.0
32,46200.0,864.0,46200.0,610.0,46200.0,500.0
33,47600.0,879.0,47600.0,614.0,47600.0,500.0
34,49000.0,894.0,49000.0,617.0,49000.0,500.0
35,50400.0,908.0,50400.0,621.0,50400.0,500.0
36,51800.0,924.0,51800.0,625.0,51800.0,500.0
37,53200.0,939.0,53200.0,629.0,53200.0,500.0
