,Time_nATP05,Pop_nATP05,Time_nATP10,Pop_nATP10,Time_nATP15,Pop_nATP15
0,2000.0,505.0,2000.0,505.0,2000.0,505.0
1,4000.0,511.0,4000.0,511.0,4000.0,510.0
2,6000.0,516.0,6000.0,516.0,6000.0,516.0
3,8000.0,521.0,8000.0,521.0,8000.0,521.0
4,10000.0,527.0,10000.0,527.0,10000.0,527.0
5,12000.0,533.0,12000.0,533.0,12000.0,532.0
6,14000.0,538.0,14000.0,538.0,14000.0,538.0
7,16000.0,544.0,16000.0,544.0,16000.0,543.0
8,18000.0,550.0,18000.0,550.0,18000.0,549.0
9,20000.0,555.0,20000.0,555.0,20000.0,555.0
10,22000.0,561.0,22000.0,561.0,22000.0,560.0
11,24000.0,567.0,24000.0,567.0,24000.0,566.0
12,26000.0,573.0,26000.0,573.0,26000.0,572.0
13,28000.0,579.0,28000.0,579.0,28000.0,578.0
14,30000.0,585.0,30000.0,585.0,30000.0,584.0
15,32000.0,592.0,32000.0,592.0,32000.0,590.0
16,34000.0,598.0,34000.0,598.0,34000.0,596.0
17,36000.0,604.0,36000.0,604.0,36000.0,603.0
18,38000.0,611.0,38000.0,611.0,38000.0,609.0
19,40000.0,617.0,40000.0,617.0,40000.0,615.0
20,42000.0,624.0,42000.0,624.0,42000.0,622.0
21,44000.0,630.0,44000.0,630.0,44000.0,628.0
22,46000.0,637.0,46000.0,637.0,46000.0,635.0
23,48000.0,644.0,48000.0,644.0,48000.0,641.0
24,50000.0,650.0,50000.0,650.0,50000.0,648.0
25,52000.0,657.0,52000.0,657.0,52000.0,655.0
26,54000.0,664.0,54000.0,664.0,54000.0,662.0
27,56000.0,671.0,56000.0,671.0,56000.0,668.0
28,58000.0,678.0,58000.0,678.0,58000.0,675.0
29,60000.0,686.0,60000.0,686.0,60000.0,682.0
30,62000.0,693.0,62000.0,693.0,62000.0,690.0
31,64000.0,700.0,64000.0,700.0,64000.0,697.0
32,66000.0,708.0,66000.0,708.0,66000.0,704.0
33,68000.0,715.0,68000.0,715.0,68000.0,711.0
34,70000.0,723.0,70000.0,723.0,70000.0,719.0
35,72000.0,730.0,72000.0,730.0,72000.0,726.0
36,74000.0,738.0,74000.0,738.0,74000.0,734.0
37,76000.0,746.0,76000.0,746.0,76000.0,741.0
38,78000.0,754.0,78000.0,754.0,78000.0,749.0
39,80000.0,762.0,80000.0,762.0,80000.0,757.0
40,82000.0,770.0,82000.0,770.0,82000.0,765.0
41,84000.0,778.0,84000.0,778.0,84000.0,773.0
42,86000.0,786.0,86000.0,786.0,86000.0,781.0
43,88000.0,794.0,88000.0,794.0,88000.0,789.0
44,90000.0,803.0,90000.0,803.0,90000.0,797.0
45,92000.0,811.0,92000.0,811.0,92000.0,806.0
46,94000.0,820.0,94000.0,820.0,94000.0,814.0
47,96000.0,828.0,96000.0,828.0,96000.0,822.0
48,98000.0,837.0,98000.0,837.0,98000.0,831.0
49,100000.0,846.0,100000.0,846.0,100000.0,840.0
50,102000.0,855.0,102000.0,855.0,102000.0,848.0
51,104000.0,864.0,104000.0,864.0,104000.0,857.0
52,106000.0,873.0,106000.0,873.0,106000.0,866.0
53,108000.0,882.0,108000.0,882.0,108000.0,875.0
54,110000.0,892.0,110000.0,892.0,110000.0,884.0
55,112000.0,901.0,112000.0,901.0,112000.0,894.0
56,114000.0,911.0,114000.0,911.0,114000.0,903.0
57,116000.0,920.0,116000.0,920.0,116000.0,912.0
58,118000.0,930.0,118000.0,930.0,118000.0,922.0
59,120000.0,940.0,120000.0,940.0,120000.0,931.0
60,122000.0,950.0,122000.0,950.0,122000.0,941.0
61,124000.0,960.0,124000.0,960.0,124000.0,951.0
62,126000.0,970.0,126000.0,970.0,126000.0,961.0
