,Temp,GrowthRate_nATP05,FinalBiomass_nATP05,FinalCH4_nATP05,GrowthRate_nATP10,FinalBiomass_nATP10,FinalCH4_nATP10,GrowthRate_nATP15,FinalBiomass_nATP15,FinalCH4_nATP15
0,280,0.003230148048452275,1008238037.0,0.00010343877147344919,0.0,500.0,3.000046229155552e-08,0.0,500.0,3.000046229155552e-08
1,281,0.0033504578959123402,703778551.0,8.513371218628195e-05,0.0,500.0,3.000052052199157e-08,0.0,500.0,3.000052052199157e-08
2,282,0.0030630477324938917,400689280.0,6.305733580038861e-05,0.0,500.0,3.000058598012913e-08,0.0,500.0,3.000058598012913e-08
3,283,0.0030266343825666175,273129170.0,5.153907300083824e-05,0.0,500.0,3.000065954615278e-08,0.0,500.0,3.000065954615278e-08
4,284,0.002535211267605636,131389076.0,3.52298509678296e-05,0.0,500.0,3.0000742204716087e-08,0.0,500.0,3.0000742204716087e-08
5,285,0.002571428571428574,51996314.0,2.190337883836996e-05,0.0,500.0,3.0000835056895907e-08,0.0,500.0,3.0000835056895907e-08
6,286,0.0026086956521739154,10371359.0,3.972173108569241e-06,0.0,500.0,3.000093933344e-08,0.0,500.0,3.000093933344e-08
7,287,0.0026470588235294142,159286.0,1.3749634839685417e-07,0.0,500.0,3.0001056409434614e-08,0.0,500.0,3.0001056409434614e-08
8,288,0.0,500.0,3.000118782052917e-08,0.0,500.0,3.000118782052917e-08,0.0,500.0,3.000118782052917e-08
9,289,0.0,500.0,3.000133528086516e-08,0.0,500.0,3.000133528086516e-08,0.0,500.0,3.000133528086516e-08
10,290,0.0,500.0,3.000150070286726e-08,0.0,500.0,3.000150070286726e-08,0.0,500.0,3.000150070286726e-08
11,291,0.0,500.0,3.000168621906496e-08,0.0,500.0,3.000168621906496e-08,0.0,500.0,3.000168621906496e-08
12,292,0.0,500.0,3.000189420612374e-08,0.0,500.0,3.000189420612374e-08,0.0,500.0,3.000189420612374e-08
13,293,0.0,500.0,3.0002127311274586e-08,0.0,500.0,3.0002127311274586e-08,0.0,500.0,3.0002127311274586e-08
14,294,0.0,500.0,3.000238848134017e-08,0.0,500.0,3.000238848134017e-08,0.0,500.0,3.000238848134017e-08
15,295,0.0,500.0,3.0002680994564075e-08,0.0,500.0,3.0002680994564075e-08,0.0,500.0,3.0002680994564075e-08
16,296,0.0,500.0,3.000300849545597e-08,0.0,500.0,3.000300849545597e-08,0.0,500.0,3.000300849545597e-08
17,297,0.0,500.0,3.0003375032870124e-08,0.0,500.0,3.0003375032870124e-08,0.0,500.0,3.0003375032870124e-08
18,298,0.0,500.0,3.000378510153516e-08,0.0,500.0,3.000378510153516e-08,0.0,500.0,3.000378510153516e-08
19,299,0.0,500.0,3.000424368725139e-08,0.0,500.0,3.000424368725139e-08,0.0,500.0,3.000424368725139e-08
20,300,0.0,500.0,3.000432392361433e-08,0.0,500.0,3.000432392361433e-08,0.0,500.0,3.000432392361433e-08
21,301,0.0,500.0,3.000493435825076e-08,0.0,500.0,3.000493435825076e-08,0.0,500.0,3.000493435825076e-08
22,302,0.0,500.0,3.0005630971659895e-08,0.0,500.0,3.0005630971659895e-08,0.0,500.0,3.0005630971659895e-08
23,303,0.0,500.0,3.000642593022248e-08,0.0,500.0,3.000642593022248e-08,0.0,500.0,3.000642593022248e-08
24,304,0.0,500.0,3.000733311792077e-08,0.0,500.0,3.000733311792077e-08,0.0,500.0,3.000733311792077e-08
25,305,0.0,500.0,3.0008368378822685e-08,0.0,500.0,3.0008368378822685e-08,0.0,500.0,3.0008368378822685e-08
26,306,0.0,500.0,3.00095497937987e-08,0.0,500.0,3.00095497937987e-08,0.0,500.0,3.00095497937987e-08
27,307,0.0,500.0,3.001089799630469e-08,0.0,500.0,3.001089799630469e-08,0.0,500.0,3.001089799630469e-08
28,308,0.0,500.0,3.0012436532745466e-08,0.0,500.0,3.0012436532745466e-08,0.0,500.0,3.0012436532745466e-08
29,309,0.0,500.0,3.001419227371303e-08,0.0,500.0,3.001419227371303e-08,0.0,500.0,3.001419227371303e-08
30,310,0.0,500.0,3.0016195883281525e-08,0.0,500.0,3.0016195883281525e-08,0.0,500.0,3.0016195883281525e-08
31,311,0.0,500.0,3.001848235455554e-08,0.0,500.0,3.001848235455554e-08,0.0,500.0,3.001848235455554e-08
32,312,0.0,500.0,3.002109162082423e-08,0.0,500.0,3.002109162082423e-08,0.0,500.0,3.002109162082423e-08
33,313,0.0,500.0,3.0024069252995814e-08,0.0,500.0,3.0024069252995814e-08,0.0,500.0,3.0024069252995814e-08
34,314,0.0,500.0,3.002746725549255e-08,0.0,500.0,3.002746725549255e-08,0.0,500.0,3.002746725549255e-08
35,315,0.0,500.0,3.0031344974506314e-08,0.0,500.0,3.0031344974506314e-08,0.0,500.0,3.003134497450631e-08
36,316,0.0,500.0,3.0035770134477516e-08,0.0,500.0,3.0035770134477516e-08,0.0,500.0,3.003577013447751e-08
37,317,0.0,500.0,3.004082002089876e-08,0.0,500.0,3.004082002089876e-08,0.0,500.0,3.004082002089876e-08
38,318,0.0,500.0,3.004658283010089e-08,0.0,500.0,3.004658283010089e-08,0.0,500.0,3.0046582830100875e-08
