T,pH,a_H2O,a_CO2,a_CO2factor
0,10.5,0.993522,1.79E-06,2.266615931
10,10.37198671,0.993530939,1.95113E-06,2.289794241
20,10.26737352,0.993542685,2.14295E-06,2.302762018
30,10.17777514,0.993557595,2.38024E-06,2.295310112
40,10.10056466,0.993575449,2.68293E-06,2.265988727
50,10.0335214,0.993596091,3.07713E-06,2.212174549
60,9.974737917,0.99361943,3.59873E-06,2.13321282
70,9.922563317,0.99364544,4.29834E-06,2.037125662
80,9.875596165,0.993674153,5.24791E-06,1.927254645
90,9.832708381,0.993705662,6.54955E-06,1.81377603
100,9.793063426,0.993740109,8.34718E-06,1.703506466
110,9.756100199,0.993777691,1.08426E-05,1.60560435
120,9.721480046,0.993818656,1.43175E-05,1.517810305
130,9.689015767,0.993863307,1.9163E-05,1.441907479
140,9.658605504,0.993912001,2.59205E-05,1.378014977
150,9.630185384,0.993965163,3.5337E-05,1.325467153
160,9.603703518,0.994023283,4.84396E-05,1.27944044
170,9.579110968,0.994086936,6.66378E-05,1.242547949
180,9.55636307,0.994156785,9.18633E-05,1.212876685
190,9.535424982,0.994233597,0.000126765,1.189160838
200,9.516276645,0.994318261,0.000174983,1.172023469
