T,pH,a_H2O,a_CO2,a_CO2factor
0,12,0.99831,5.44E-10,0.480813439
10,11.63541103,0.998311302,1.68121E-09,0.543377549
20,11.32183508,0.998312781,4.59891E-09,0.610177909
30,11.0491477,0.998314688,1.12952E-08,0.671533968
40,10.81150391,0.998316986,2.53628E-08,0.723823221
50,10.60341678,0.99831965,5.29665E-08,0.766408953
60,10.42016506,0.99832266,1.0434E-07,0.799536874
70,10.25782618,0.998326007,1.96013E-07,0.826011974
80,10.11316324,0.998329688,3.5406E-07,0.845818345
90,9.98349203,0.998333712,6.18728E-07,0.860898169
100,9.86657358,0.998338093,1.05093E-06,0.872139027
110,9.760539707,0.998342855,1.74119E-06,0.880276533
120,9.663845572,0.998348033,2.82182E-06,0.885970735
130,9.575239898,0.998353672,4.48322E-06,0.889704541
140,9.493743757,0.998359829,6.99548E-06,0.891825189
150,9.418630558,0.998366574,1.07365E-05,0.89322149
160,9.349402601,0.998373995,1.62285E-05,0.892166923
170,9.285762716,0.998382201,2.41841E-05,0.890431436
180,9.227582435,0.998391321,3.55646E-05,0.887340568
190,9.174869646,0.998401517,5.16519E-05,0.883241156
200,9.127738473,0.998412988,7.4137E-05,0.877257566
