T,pH,a_H2O,a_CO2
0,8.5,0.996679,0.0002309
10,8.384,0.996682,0.000239
20,8.29,0.996685,0.0002503
30,8.214,0.99669,0.0002638
40,8.154,0.996696,0.0002797
50,8.108,0.996703,0.0002986
60,8.077,0.996711,0.0003209
70,8.052,0.996719,0.0003464
80,8.04,0.996729,0.0003765
90,8.035,0.996739,0.0004116
100,8.044,0.99675,0.0004533
110,8.046,0.996763,0.0005018
120,8.059,0.996777,0.0005599
130,8.074,0.996791,0.0006296
140,8.092,0.996808,0.0007132
150,8.109,0.996825,0.000813
160,8.134,0.996845,0.0009342
170,8.157,0.996866,0.001078
180,8.181,0.99689,0.00125
190,8.207,0.996916,0.001453
200,8.231,0.996947,0.001693
