,name,MF,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH,vol
0,Methanobacterium_alcaliphilum,0.94873046875,6.184008298760021e-13,6.518192998384211e-13,3.3416281439940474e-14,1_280520,Methanobacteriumalcaliphilum12_280520,310.0,8.6,3.2073697497743293e-18
1,Methanobacterium_arcticum,0.9665679931640625,9.2105344721813e-14,9.529111803123746e-14,3.1856891258527118e-15,2_280520,Methanobacteriumarcticum17_280520,310.0,7.0,7.974245727744716e-19
2,Methanobacterium_bryantii,0.911376953125,1.6649808745171018e-13,1.8268849884870208e-13,1.6190211668070872e-14,3_280520,Methanobacteriumbryantii13_280520,310.0,6.95,2.969786805346601e-18
3,Methanobacterium_congolense,0.98858642578125,1.1843213721391501e-12,1.1979947744105597e-12,1.3658216190339451e-14,4_280520,Methanobacteriumcongolense15_280520,312.5,7.2,9.542587685278995e-19
4,Methanobacterium_espanolae,0.9548354148864746,6.573236922303585e-13,6.884157017872145e-13,3.108003188872075e-14,5_280520,Methanobacteriumespanolae22_280520,308.0,5.9,3.0159289474462012e-18
5,Methanobacterium_ferruginis,0.99365234375,1.9269083293712133e-13,1.9392178174703906e-13,1.230501054990659e-15,6_280520,Methanobacteriumferruginis12_280520,313.0,6.75,2.1205750411731104e-19
6,Methanobacterium_kanagiense,0.9832687377929688,1.3384897942401987e-13,1.3612654839861524e-13,2.27735710735037e-15,7_280520,Methanobacteriumkanagiense22_280520,313.0,8.0,4.681463927700914e-19
7,Methanobacterium_movens,0.9775390625,1.0037149067223495e-13,1.0267772871964894e-13,2.3060600403883856e-15,8_280520,Methanobacteriummovens11_280520,309.5,7.5,5.566509483079413e-19
8,Methanobacterium_palustre,0.9798583984375,2.0938028118918195e-13,2.136842236827929e-13,4.303810523601206e-15,9_280520,Methanobacteriumpalustre14_280520,308.0,7.0,7.363107781851077e-19
9,Methanobacterium_petrolearium,0.985107421875,4.484164646697346e-14,4.551954992037752e-14,6.778537286801691e-16,10_280520,Methanobacteriumpetrolearium13_280520,308.0,6.5,2.5093471320548467e-19
10,Methanobacterium_thermaggregans,0.9948058128356934,5.711051216165651e-12,5.74087037136052e-12,2.9772898180291633e-14,11_280520,Methanobacteriumthermaggregans22_280520,338.0,7.25,7.539822368615503e-19
11,Methanobacterium_veterum,0.9730463027954102,9.127268421455706e-14,9.380096707869387e-14,2.5280997301723064e-15,12_280520,Methanobacteriumveterum22_280520,301.0,7.1,7.093127163183204e-19
12,Methanobrevibacter_acididurans,0.998046875,2.473458603516793e-13,2.478299031312325e-13,2.400817985803327e-16,13_280520,Methanobrevibacteracididurans11_280520,308.0,6.0,5.026548245743668e-20
13,Methanobrevibacter_arboriphilus,0.9791898727416992,1.9814055001070103e-13,2.023515106992621e-13,4.209823235314613e-15,14_280520,Methanobrevibacterarboriphilus22_280520,306.5,7.75,7.634070148223197e-19
14,Methanobrevibacter_curvatus,0.991579532623291,3.9909526610370057e-14,4.024843726330927e-14,3.38828438353014e-16,15_280520,Methanobrevibactercurvatus22_280520,303.0,7.1,1.4526724430199204e-19
15,Methanobrevibacter_cuticularis,0.9920468330383301,5.593766510089677e-14,5.63861132740852e-14,4.483085609861387e-16,16_280520,Methanobrevibactercuticularis22_280520,310.0,7.7,1.5079644737231004e-19
16,Methanobrevibacter_filiformis,0.99114990234375,4.98307674564438e-14,5.027571242110815e-14,4.448114512913521e-16,17_280520,Methanobrevibacterfiliformis15_280520,303.0,7.1,1.6619025137490006e-19
17,Methanobrevibacter_oralis,0.9964523315429688,2.967258347013888e-13,2.9778226745871534e-13,1.055954229404738e-15,18_280520,Methanobrevibacteroralis18_280520,309.0,7.15,1.5109097168358406e-19
18,Methanocaldococcus_fervens,0.9980010986328125,6.561624589478302e-10,6.574766900023699e-10,1.2575760040813458e-12,19_280520,Methanocaldococcusfervens17_280520,358.0,6.5,2.6507188014663884e-18
19,Methanocaldococcus_indicus,0.992919921875,2.818936750527742e-10,2.839037356813777e-10,1.9951961968371716e-12,20_280520,Methanocaldococcusindicus13_280520,358.0,6.5,6.2831853071795856e-18
20,Methanocaldococcus_infernus,0.9927129745483398,2.6971396747230934e-10,2.7169380716014377e-10,1.9661573431270474e-12,21_280520,Methanocaldococcusinfernus22_280520,358.0,6.5,6.2831853071795856e-18
21,Methanocaldococcus_jannaschii,0.9974365234375,3.8067326800670796e-10,3.816516229973016e-10,9.687553956230608e-13,22_280520,Methanocaldococcusjannaschii14_280520,358.0,6.0,2.6507188014663884e-18
22,Methanocaldococcus_villosus,0.9957275390625,1.3122150920569014e-10,1.3178455356295374e-10,5.600935461646596e-13,23_280520,Methanocaldococcusvillosus14_280520,353.0,6.5,2.6507188014663884e-18
23,Methanocaldococcus_vulcanius,0.98974609375,1.304331009075921e-10,1.3178440585039398e-10,1.346679643030829e-12,24_280520,Methanocaldococcusvulcanius12_280520,353.0,6.5,6.2831853071795856e-18
24,Methanocella_conradii,0.998046875,1.7420910775780573e-12,1.7455002577690125e-12,1.6892152164291244e-15,25_280520,Methanocellaconradii11_280520,325.5,6.8,1.0308350894591506e-19
25,Methanocorpusculum_labreanum,0.9804115295410156,7.773951884808313e-13,7.929274239000153e-13,1.552836531513052e-14,26_280520,Methanocorpusculumlabreanum22_280520,310.0,7.0,1.3571680263507906e-18
26,Methanocorpusculum_parvum,0.99041748046875,1.0567165331103173e-12,1.0669405113994847e-12,1.0222679273379436e-14,27_280520,Methanocorpusculumparvum15_280520,310.0,7.15,7.853981633974482e-19
27,Methanoculleus_chikugoensis,0.83251953125,2.5845306582611626e-14,3.104468497430417e-14,5.199366471049539e-15,28_280520,Methanoculleuschikugoensis12_280520,298.0,6.95,2.6507188014663884e-18
28,Methanoculleus_horonobensis,0.9869394302368164,1.396903780499987e-12,1.4153895747835302e-12,1.847966916982242e-14,29_280520,Methanoculleushoronobensis22_280520,312.5,6.75,1.1944924317570934e-18
29,Methanoculleus_hydrogenitrophicus,0.9251747131347656,1.2533119916236163e-13,1.3546760128981742e-13,1.0135800076807813e-14,30_280520,Methanoculleushydrogenitrophicus22_280520,310.0,6.6,2.1551325603625977e-18
30,Methanoculleus_palmolei,0.92724609375,3.416240409837226e-13,3.684286655790753e-13,2.6804368537522225e-14,31_280520,Methanoculleuspalmolei12_280520,313.0,7.2,3.370155790984753e-18
31,Methanofollis_liminatans,0.9638128280639648,9.179838844211384e-13,9.524503697103885e-13,3.446520360192506e-14,32_280520,Methanofollisliminatans21_280520,313.0,7.0,2.6507188014663884e-18
