,E,PS,PT,PG,SimID
0,0.1,6.869507497325608e-10,6.862798993910252e-10,6.304457128823079e-13,26820_250420
1,0.5,6.868908309309495e-10,6.855492472767875e-10,1.2414167490223165e-12,26829_250420
2,1.0,6.86890520255704e-10,6.842073541609552e-10,2.582885749279599e-12,26837_250420
3,1.5,6.868904045192721e-10,6.82865656055292e-10,3.924549688350555e-12,26846_250420
4,2.0,6.868903618730833e-10,6.815240309209499e-10,5.2662867176645715e-12,26853_250420
5,2.5,6.868903283698593e-10,6.801824150068723e-10,6.60803288994328e-12,26862_250420
6,3.0,6.868903040047521e-10,6.788408082546965e-10,7.949788200338843e-12,26870_250420
7,3.5,6.868902826868405e-10,6.774992046032314e-10,9.291546557930094e-12,26879_250420
8,4.0,6.868902765556682e-10,6.761576159844859e-10,1.0633320102260646e-11,26885_250420
9,4.5,6.868902735442971e-10,6.748160304546513e-10,1.1975096766392276e-11,26894_250420
10,5.0,6.868902704966258e-10,6.734744449009886e-10,1.3316873394223677e-11,26902_250420
11,5.5,6.868902613607001e-10,6.721328534017788e-10,1.465864393380088e-11,26911_250420
12,6.0,6.868902613584847e-10,6.707912708578953e-10,1.6000423607088332e-11,26918_250420
13,6.5,6.868902613566103e-10,6.694496883143527e-10,1.734220328071662e-11,26927_250420
14,7.0,6.868902522217348e-10,6.681080968875467e-10,1.868397382134392e-11,26935_250420
15,7.5,6.868902491759186e-10,6.667665114070929e-10,2.0025750451030546e-11,26944_250420
16,8.0,6.868902430858538e-10,6.654249229894209e-10,2.136752403646849e-11,26949_250420
17,8.5,6.868902399882886e-10,6.640833374886774e-10,2.270930061440612e-11,26958_250420
18,9.0,6.868902400393993e-10,6.627417550380141e-10,2.405108034101955e-11,26966_250420
19,9.5,6.86890233910081e-10,6.61400166636074e-10,2.5392853887204077e-11,26975_250420
20,10.0,6.868902309045057e-10,6.600585812597985e-10,2.67346305571316e-11,26982_250420
