,name,e,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH
0,Methanobacterium_alcaliphilum,0.966796875,9.45265323679251e-13,9.777289812601547e-13,3.2460342740642814e-14,5387_220420,Methanobacterium_alcaliphilum116_220420,310.0,8.6
1,Methanobacterium_arcticum,0.978515625,1.3986577324691312e-13,1.4293667844794314e-13,3.070778735784209e-15,5396_220420,Methanobacterium_arcticum118_220420,310.0,7.0
2,Methanobacterium_bryantii,0.94140625,2.579761426474243e-13,2.7403274903626816e-13,1.605629764254618e-14,5404_220420,Methanobacterium_bryantii92_220420,310.0,6.95
3,Methanobacterium_congolense,0.99267578125,1.7838308467923416e-12,1.7969924123122064e-12,1.313894107646061e-14,5415_220420,Methanobacterium_congolense128_220420,312.5,7.2
4,Methanobacterium_espanolae,0.97021484375,1.0018619317992746e-12,1.0326186393180244e-12,3.0733685099886525e-14,5426_220420,Methanobacterium_espanolae124_220420,308.0,5.9
5,Methanobacterium_ferruginis,0.995849609375,2.8967539968630483e-13,2.908826764194912e-13,1.2066073988877893e-15,5438_220420,Methanobacterium_ferruginis142_220420,313.0,6.75
6,Methanobacterium_kanagiense,0.9892578125,2.0199637961360062e-13,2.0418982499933568e-13,2.193225983219784e-15,5448_220420,Methanobacterium_kanagiense120_220420,313.0,8.0
7,Methanobacterium_movens,0.985595703125,1.5179809555597623e-13,1.5401659633323723e-13,2.2182347730037043e-15,5460_220420,Methanobacterium_movens129_220420,309.5,7.5
8,Methanobacterium_palustre,0.9873046875,3.1645715694211174e-13,3.2052633897994305e-13,4.068985990368634e-15,5470_220420,Methanobacterium_palustre112_220420,308.0,7.0
9,Methanobacterium_petrolearium,0.990234375,6.761253499045892e-14,6.827932527636087e-14,6.667157025663187e-16,5479_220420,Methanobacterium_petrolearium125_220420,308.0,6.5
10,Methanobacterium_thermaggregans,0.99658203125,8.581872647728214e-12,8.611305821924244e-12,2.936392882089528e-14,5490_220420,Methanobacterium_thermaggregans144_220420,338.0,7.25
11,Methanobacterium_veterum,0.982421875,1.382281842879979e-13,1.4070145199891636e-13,2.4730594579851705e-15,5499_220420,Methanobacterium_veterum106_220420,301.0,7.1
12,Methanobrevibacter_acididurans,0.9990234375,3.7138311502711816e-13,3.7174614837514076e-13,3.61416378880246e-16,5509_220420,Methanobrevibacter_acididurans134_220420,308.0,6.0
13,Methanobrevibacter_arboriphilus,0.986328125,2.99377486046275e-13,3.035272729815699e-13,4.148220945713659e-15,5518_220420,Methanobrevibacter_arboriphilus128_220420,306.5,7.75
14,Methanobrevibacter_curvatus,0.9945068359375,6.004101973002515e-14,6.037265663782571e-14,3.315139607397611e-16,5531_220420,Methanobrevibacter_curvatus138_220420,303.0,7.1
