,name,e,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH
0,Methanobacterium_alcaliphilum,0.8515625,1.8502206249437935e-13,2.1727361467229868e-13,3.2251335707304603e-14,1445_210420,Methanobacterium_alcaliphilum37_210420,310.0,8.6
1,Methanobacterium_arcticum,0.90234375,2.8661799114818634e-14,3.176372542594619e-14,3.101917633966643e-15,1453_210420,Methanobacterium_arcticum37_210420,310.0,7.0
2,Methanobacterium_bryantii,0.75,4.567216147308663e-14,6.089621529744884e-14,1.5224035797591787e-14,1455_210420,Methanobacterium_bryantii30_210420,310.0,6.95
3,Methanobacterium_congolense,0.966796875,3.860758478402986e-13,3.993350183721876e-13,1.3257533195749825e-14,1464_210420,Methanobacterium_congolense36_210420,312.5,7.2
4,Methanobacterium_espanolae,0.8671875,1.9899726084463784e-13,2.2947431881183463e-13,3.047552894957842e-14,1471_210420,Methanobacterium_espanolae38_210420,308.0,5.9
5,Methanobacterium_ferruginis,0.9814453125,6.344130651949026e-14,6.464069440393834e-14,1.199339090094364e-15,1481_210420,Methanobacterium_ferruginis47_210420,313.0,6.75
6,Methanobacterium_kanagiense,0.94921875,4.307132215983204e-14,4.537554927126338e-14,2.3042112776979984e-15,1489_210420,Methanobacterium_kanagiense33_210420,313.0,8.0
7,Methanobacterium_movens,0.93359375,3.195313310226456e-14,3.422595010117041e-14,2.272798167313235e-15,1497_210420,Methanobacterium_movens39_210420,309.5,7.5
8,Methanobacterium_palustre,0.94140625,6.705458286986337e-14,7.122810462524906e-14,4.173507794399573e-15,1505_210420,Methanobacterium_palustre35_210420,308.0,7.0
9,Methanobacterium_petrolearium,0.95703125,1.4521221378797008e-14,1.5173194583559324e-14,6.519678944677361e-16,1513_210420,Methanobacterium_petrolearium41_210420,308.0,6.5
10,Methanobacterium_thermaggregans,0.98486328125,1.8846676957606656e-12,1.9136338328794462e-12,2.8961090922634e-14,1524_210420,Methanobacterium_thermaggregans45_210420,338.0,7.25
11,Methanobacterium_veterum,0.921875,2.882428477361035e-14,3.1267020771373944e-14,2.4427215536490415e-15,1530_210420,Methanobacterium_veterum31_210420,301.0,7.1
12,Methanobrevibacter_acididurans,0.996337890625,8.230794236620095e-14,8.261047094632666e-14,3.0238518072275145e-16,1542_210420,Methanobrevibacter_acididurans49_210420,308.0,6.0
13,Methanobrevibacter_arboriphilus,0.939453125,6.336680909053484e-14,6.745074065354228e-14,4.083821388444567e-15,1551_210420,Methanobrevibacter_arboriphilus40_210420,306.5,7.75
14,Methanobrevibacter_curvatus,0.974609375,1.3075519365983512e-14,1.3416164159085287e-14,3.4063579459718235e-16,1560_210420,Methanobrevibacter_curvatus43_210420,303.0,7.1
15,Methanobrevibacter_cuticularis,0.976318359375,1.8350296419030224e-14,1.879540238368287e-14,4.45090716349885e-16,1572_210420,Methanobrevibacter_cuticularis49_210420,310.0,7.7
16,Methanobrevibacter_filiformis,0.974609375,1.6333089582898342e-14,1.6758600934757415e-14,4.25496952861268e-16,1581_210420,Methanobrevibacter_filiformis43_210420,303.0,7.1
17,Methanobrevibacter_oralis,0.98974609375,9.82430515475637e-14,9.926086313241759e-14,1.0177593615323758e-15,1592_210420,Methanobrevibacter_oralis50_210420,309.0,7.15
18,Methanocaldococcus_fervens,0.994140625,2.1788732393611745e-10,2.191715321322046e-10,1.2779576592199211e-12,1601_210420,Methanocaldococcus_fervens44_210420,358.0,6.5
19,Methanocaldococcus_indicus,0.9794921875,9.26971025997949e-11,9.463791930427715e-11,1.939201132653399e-12,1611_210420,Methanocaldococcus_indicus39_210420,358.0,6.5
20,Methanocaldococcus_infernus,0.978515625,8.862185240610747e-11,9.056764158069266e-11,1.9443100872262705e-12,1620_210420,Methanocaldococcus_infernus40_210420,358.0,6.5
21,Methanocaldococcus_jannaschii,0.992431640625,1.2625650832477348e-10,1.272193500856758e-10,9.617841573256556e-13,1632_210420,Methanocaldococcus_jannaschii107_210420,358.0,6.0
22,Methanocaldococcus_villosus,0.9873046875,4.3371153308889204e-11,4.3928843707519826e-11,5.573659331832502e-13,1642_210420,Methanocaldococcus_villosus39_210420,353.0,6.5
23,Methanocaldococcus_vulcanius,0.970703125,4.2642192518518903e-11,4.392918022028507e-11,1.286489922597452e-12,1651_210420,Methanocaldococcus_vulcanius34_210420,353.0,6.5
24,Methanocella_conradii,0.99658203125,5.798484336731843e-13,5.818371348175803e-13,1.9872915706230436e-15,1662_210420,Methanocella_conradii50_210420,325.5,6.8
25,Methanocorpusculum_labreanum,0.94140625,2.488230224992277e-13,2.6430993261328753e-13,1.5486537368971782e-14,1670_210420,Methanocorpusculum_labreanum36_210420,310.0,7.0
26,Methanocorpusculum_parvum,0.9716796875,3.4557509132441844e-13,3.5564712916201455e-13,1.0071896782901633e-14,1680_210420,Methanocorpusculum_parvum39_210420,310.0,7.15
27,Methanoculleus_chikugoensis,0.5,5.174115748778393e-15,1.0348231497556785e-14,5.17411494871363e-15,1681_210420,Methanoculleus_chikugoensis30_210420,298.0,6.95
28,Methanoculleus_horonobensis,0.9609375,4.5336815263915095e-13,4.717977523399294e-13,1.8429010297205456e-14,1688_210420,Methanoculleus_horonobensis36_210420,312.5,6.75
29,Methanoculleus_hydrogenitrophicus,0.78125,3.5278122052390575e-14,4.515599622705994e-14,9.877823776054473e-15,1693_210420,Methanoculleus_hydrogenitrophicus37_210420,310.0,6.6
30,Methanoculleus_palmolei,0.78125,9.594501286510942e-14,1.2280961646734006e-13,2.686457955905765e-14,1698_210420,Methanoculleus_palmolei36_210420,313.0,7.2
31,Methanofollis_liminatans,0.8984375,2.85239311054908e-13,3.1748375491328893e-13,3.2244313650862655e-14,1705_210420,Methanofollis_liminatans39_210420,313.0,7.0
32,Methanofollis_tationis,0.0,0.0,1.3231153083334477e-13,1.3218232030151507e-13,1715_210420,Methanofollis_tationis36_210420,311.5,7.0
33,Methanogenium_frigidum,0.0,0.0,4.50734376620524e-15,4.502942061345849e-15,1725_210420,Methanogenium_frigidum34_210420,288.0,7.7
34,Methanolacinia_paynteri,0.9873046875,9.666802921962218e-13,9.791104047566085e-13,1.242761119976657e-14,1735_210420,Methanolacinia_paynteri47_210420,313.0,7.0
35,Methanolinea_mesophila,0.9609375,2.600793738135354e-14,2.7065170608237832e-14,1.0572185020924685e-15,1742_210420,Methanolinea_mesophila37_210420,310.0,7.0
36,Methanoplanus_endosymbiosus,0.974609375,4.450255228027263e-13,4.566193740981881e-13,1.1591731324874667e-14,1751_210420,Methanoplanus_endosymbiosus38_210420,305.0,7.0
37,Methanopyrus_kandleri,0.990234375,3.432641013495289e-11,3.466493488973546e-11,3.3835735906837936e-13,1760_210420,Methanopyrus_kandleri38_210420,371.0,6.5
38,Methanoregula_boonei,0.98291015625,1.3325387498128954e-14,1.3557075805349277e-14,2.3167872401910277e-16,1771_210420,Methanoregula_boonei46_210420,309.0,5.1
39,Methanosarcina_soligelidi,0.0,0.0,1.6651033411863095e-15,1.6634772632330287e-15,1781_210420,Methanosarcina_soligelidi32_210420,301.0,7.8
40,Methanosarcina_spelaei,0.0,0.0,1.6801177903926188e-15,1.6784770482044874e-15,1791_210420,Methanosarcina_spelaei38_210420,306.0,6.5
41,Methanosphaerula_palustris,0.982421875,5.91065790349123e-14,6.01641520196324e-14,1.0573912764061258e-15,1800_210420,Methanosphaerula_palustris41_210420,303.0,5.5
42,Methanospirillum_psychrodurum,0.75,1.4573966681878783e-13,1.9431955575838377e-13,4.8579708823213957e-14,1802_210420,Methanospirillum_psychrodurum32_210420,298.0,7.0
43,Methanothermobacter_tenebrarum,0.900390625,1.4860514304694614e-13,1.6504519141005732e-13,1.643996788508959e-14,1811_210420,Methanothermobacter_tenebrarum41_210420,343.0,7.300000000000001
44,Methanothermobacter_thermautotrophicus,0.625,5.16939859014931e-13,8.271037744238896e-13,3.1016043531482754e-13,1814_210420,Methanothermobacter_thermautotrophicus31_210420,340.5,7.4
45,Methanothermococcus_okinawensis,0.99560546875,9.311260831259227e-11,9.352360069847424e-11,4.1028047075714054e-13,1825_210420,Methanothermococcus_okinawensis47_210420,335.5,6.5
46,Methanothermus_fervidus,0.996337890625,2.9915183326867293e-12,3.002513866867151e-12,1.0984820331440259e-14,1837_210420,Methanothermus_fervidus50_210420,356.0,6.5
47,Methanotorris_formicicus,0.996337890625,9.435767336170072e-11,9.470449156812696e-11,3.4608627408236056e-13,1849_210420,Methanotorris_formicicus45_210420,348.0,6.7
48,Methanocaldococcus_jannaschii,0.9967041015625,5.764307640591664e-11,5.7833690375660643e-11,1.896898494027277e-13,1862_210420,Methanocaldococcus_jannaschii121_210420,355.0,6.8
