,Time_nATP05,Pop_nATP05,Time_nATP10,Pop_nATP10,Time_nATP15,Pop_nATP15
0,2000.0,505.0,2000.0,505.0,2000.0,505.0
1,4000.0,510.0,4000.0,510.0,4000.0,509.0
2,6000.0,516.0,6000.0,515.0,6000.0,514.0
3,8000.0,521.0,8000.0,520.0,8000.0,519.0
4,10000.0,526.0,10000.0,525.0,10000.0,524.0
5,12000.0,532.0,12000.0,530.0,12000.0,529.0
6,14000.0,537.0,14000.0,536.0,14000.0,534.0
7,16000.0,542.0,16000.0,541.0,16000.0,539.0
8,18000.0,548.0,18000.0,546.0,18000.0,544.0
9,20000.0,554.0,20000.0,552.0,20000.0,549.0
10,22000.0,559.0,22000.0,557.0,22000.0,554.0
11,24000.0,565.0,24000.0,563.0,24000.0,559.0
12,26000.0,571.0,26000.0,568.0,26000.0,565.0
13,28000.0,577.0,28000.0,574.0,28000.0,570.0
14,30000.0,583.0,30000.0,580.0,30000.0,575.0
15,32000.0,589.0,32000.0,585.0,32000.0,581.0
16,34000.0,595.0,34000.0,591.0,34000.0,586.0
17,36000.0,601.0,36000.0,597.0,36000.0,592.0
18,38000.0,607.0,38000.0,603.0,38000.0,597.0
19,40000.0,613.0,40000.0,609.0,40000.0,603.0
20,42000.0,619.0,42000.0,615.0,42000.0,609.0
21,44000.0,626.0,44000.0,621.0,44000.0,614.0
22,46000.0,632.0,46000.0,627.0,46000.0,620.0
23,48000.0,639.0,48000.0,633.0,48000.0,626.0
24,50000.0,645.0,50000.0,640.0,50000.0,632.0
25,52000.0,652.0,52000.0,646.0,52000.0,638.0
26,54000.0,658.0,54000.0,652.0,54000.0,644.0
27,56000.0,665.0,56000.0,659.0,56000.0,650.0
28,58000.0,672.0,58000.0,665.0,58000.0,656.0
29,60000.0,679.0,60000.0,672.0,60000.0,662.0
30,62000.0,686.0,62000.0,679.0,62000.0,668.0
31,64000.0,693.0,64000.0,685.0,64000.0,675.0
32,66000.0,700.0,66000.0,692.0,66000.0,681.0
33,68000.0,707.0,68000.0,699.0,68000.0,688.0
34,70000.0,714.0,70000.0,706.0,70000.0,694.0
35,72000.0,722.0,72000.0,713.0,72000.0,701.0
36,74000.0,729.0,74000.0,720.0,74000.0,707.0
37,76000.0,736.0,76000.0,727.0,76000.0,714.0
38,78000.0,744.0,78000.0,734.0,78000.0,720.0
39,80000.0,752.0,80000.0,742.0,80000.0,727.0
40,82000.0,759.0,82000.0,749.0,82000.0,734.0
41,84000.0,767.0,84000.0,756.0,84000.0,741.0
42,86000.0,775.0,86000.0,764.0,86000.0,748.0
43,88000.0,783.0,88000.0,771.0,88000.0,755.0
44,90000.0,791.0,90000.0,779.0,90000.0,762.0
45,92000.0,799.0,92000.0,787.0,92000.0,769.0
46,94000.0,807.0,94000.0,795.0,94000.0,777.0
47,96000.0,815.0,96000.0,802.0,96000.0,784.0
48,98000.0,824.0,98000.0,810.0,98000.0,791.0
49,100000.0,832.0,100000.0,818.0,100000.0,799.0
50,102000.0,841.0,102000.0,826.0,102000.0,806.0
51,104000.0,849.0,104000.0,835.0,104000.0,814.0
52,106000.0,858.0,106000.0,843.0,106000.0,821.0
53,108000.0,867.0,108000.0,851.0,108000.0,829.0
54,110000.0,876.0,110000.0,860.0,110000.0,837.0
55,112000.0,885.0,112000.0,868.0,112000.0,845.0
56,114000.0,894.0,114000.0,877.0,114000.0,853.0
57,116000.0,903.0,116000.0,885.0,116000.0,861.0
58,118000.0,912.0,118000.0,894.0,118000.0,869.0
59,120000.0,921.0,120000.0,903.0,120000.0,877.0
60,122000.0,931.0,122000.0,912.0,122000.0,885.0
61,124000.0,940.0,124000.0,921.0,124000.0,894.0
62,126000.0,950.0,126000.0,930.0,126000.0,902.0
63,128000.0,960.0,128000.0,939.0,128000.0,911.0
64,130000.0,970.0,130000.0,949.0,130000.0,919.0
65,132000.0,980.0,132000.0,958.0,132000.0,928.0
66,134000.0,990.0,134000.0,968.0,134000.0,937.0
67,136000.0,1000.0,136000.0,977.0,136000.0,945.0
68,138000.0,1010.0,138000.0,987.0,138000.0,954.0
69,140000.0,1020.0,140000.0,997.0,140000.0,963.0
70,142000.0,1031.0,142000.0,1007.0,142000.0,972.0
71,144000.0,1041.0,144000.0,1016.0,144000.0,981.0
72,146000.0,1052.0,146000.0,1027.0,146000.0,991.0
73,148000.0,1063.0,148000.0,1037.0,148000.0,1000.0
74,150000.0,1074.0,150000.0,1047.0,150000.0,1009.0
75,152000.0,1085.0,152000.0,1057.0,152000.0,1019.0
76,154000.0,1096.0,154000.0,1068.0,154000.0,1029.0
77,156000.0,1107.0,156000.0,1078.0,156000.0,1038.0
78,158000.0,1118.0,158000.0,1089.0,158000.0,1048.0
79,160000.0,1130.0,160000.0,1100.0,160000.0,1058.0
80,162000.0,1141.0,162000.0,1111.0,162000.0,1068.0
81,164000.0,1153.0,164000.0,1122.0,164000.0,1078.0
82,166000.0,1165.0,166000.0,1133.0,166000.0,1088.0
83,168000.0,1177.0,168000.0,1144.0,168000.0,1098.0
84,170000.0,1189.0,170000.0,1155.0,170000.0,1109.0
85,172000.0,1201.0,172000.0,1167.0,172000.0,1119.0
86,174000.0,1213.0,174000.0,1178.0,174000.0,1130.0
87,176000.0,1226.0,176000.0,1190.0,176000.0,1140.0
88,178000.0,1238.0,178000.0,1202.0,178000.0,1151.0
89,180000.0,1251.0,180000.0,1214.0,180000.0,1162.0
90,182000.0,1264.0,182000.0,1226.0,182000.0,1173.0
91,184000.0,1277.0,184000.0,1238.0,184000.0,1184.0
92,186000.0,1290.0,186000.0,1250.0,186000.0,1195.0
93,188000.0,1303.0,188000.0,1263.0,188000.0,1206.0
94,190000.0,1316.0,190000.0,1275.0,190000.0,1217.0
95,192000.0,1330.0,192000.0,1288.0,192000.0,1229.0
96,194000.0,1343.0,194000.0,1300.0,194000.0,1240.0
97,196000.0,1357.0,196000.0,1313.0,196000.0,1252.0
98,198000.0,1371.0,198000.0,1326.0,198000.0,1264.0
99,200000.0,1385.0,200000.0,1339.0,200000.0,1276.0
100,202000.0,1399.0,202000.0,1353.0,202000.0,1288.0
101,204000.0,1414.0,204000.0,1366.0,204000.0,1300.0
102,206000.0,1428.0,206000.0,1380.0,206000.0,1312.0
103,208000.0,1443.0,208000.0,1393.0,208000.0,1325.0
104,210000.0,1457.0,210000.0,1407.0,210000.0,1337.0
105,212000.0,1472.0,212000.0,1421.0,212000.0,1350.0
106,214000.0,1487.0,214000.0,1435.0,214000.0,1362.0
107,216000.0,1503.0,216000.0,1449.0,216000.0,1375.0
108,218000.0,1518.0,218000.0,1464.0,218000.0,1388.0
109,220000.0,1534.0,220000.0,1478.0,220000.0,1401.0
110,222000.0,1549.0,222000.0,1493.0,222000.0,1414.0
111,224000.0,1565.0,224000.0,1508.0,224000.0,1428.0
112,226000.0,1581.0,226000.0,1523.0,226000.0,1441.0
113,228000.0,1597.0,228000.0,1538.0,228000.0,1455.0
114,230000.0,1614.0,230000.0,1553.0,230000.0,1468.0
115,232000.0,1630.0,232000.0,1568.0,232000.0,1482.0
116,234000.0,1647.0,234000.0,1584.0,234000.0,1496.0
117,236000.0,1664.0,236000.0,1599.0,236000.0,1510.0
118,238000.0,1681.0,238000.0,1615.0,238000.0,1524.0
119,240000.0,1698.0,240000.0,1631.0,240000.0,1539.0
120,242000.0,1715.0,242000.0,1647.0,242000.0,1553.0
121,244000.0,1733.0,244000.0,1664.0,244000.0,1568.0
122,246000.0,1751.0,246000.0,1680.0,246000.0,1583.0
123,248000.0,1769.0,248000.0,1697.0,248000.0,1597.0
124,250000.0,1787.0,250000.0,1714.0,250000.0,1613.0
125,252000.0,1805.0,252000.0,1731.0,252000.0,1628.0
126,254000.0,1824.0,254000.0,1748.0,254000.0,1643.0
127,256000.0,1842.0,256000.0,1765.0,256000.0,1658.0
128,258000.0,1861.0,258000.0,1783.0,258000.0,1674.0
129,260000.0,1880.0,260000.0,1800.0,260000.0,1690.0
130,262000.0,1899.0,262000.0,1818.0,262000.0,1706.0
131,264000.0,1919.0,264000.0,1836.0,264000.0,1722.0
132,266000.0,1939.0,266000.0,1854.0,266000.0,1738.0
133,268000.0,1958.0,268000.0,1873.0,268000.0,1754.0
134,270000.0,1978.0,270000.0,1891.0,270000.0,1771.0
135,272000.0,1999.0,272000.0,1910.0,272000.0,1788.0
136,274000.0,2019.0,274000.0,1929.0,274000.0,1804.0
137,276000.0,2040.0,276000.0,1948.0,276000.0,1821.0
138,278000.0,2061.0,278000.0,1967.0,278000.0,1838.0
139,280000.0,2082.0,280000.0,1987.0,280000.0,1856.0
