,Time_nATP05,Pop_nATP05,Time_nATP10,Pop_nATP10,Time_nATP15,Pop_nATP15
0,2000.0,502.0,2000.0,500.0,2000.0,500.0
1,4000.0,504.0,4000.0,500.0,4000.0,500.0
2,6000.0,507.0,6000.0,500.0,6000.0,500.0
3,8000.0,509.0,8000.0,500.0,8000.0,500.0
4,10000.0,511.0,10000.0,500.0,10000.0,500.0
5,12000.0,513.0,12000.0,500.0,12000.0,500.0
6,14000.0,515.0,14000.0,500.0,14000.0,500.0
7,16000.0,518.0,16000.0,500.0,16000.0,500.0
8,18000.0,520.0,18000.0,500.0,18000.0,500.0
9,20000.0,522.0,20000.0,500.0,20000.0,500.0
10,22000.0,524.0,22000.0,500.0,22000.0,500.0
11,24000.0,527.0,24000.0,500.0,24000.0,500.0
12,26000.0,529.0,26000.0,500.0,26000.0,500.0
13,28000.0,531.0,28000.0,500.0,28000.0,500.0
14,30000.0,534.0,30000.0,500.0,30000.0,500.0
15,32000.0,536.0,32000.0,500.0,32000.0,500.0
16,34000.0,538.0,34000.0,500.0,34000.0,500.0
17,36000.0,541.0,36000.0,500.0,36000.0,500.0
18,38000.0,543.0,38000.0,500.0,38000.0,500.0
19,40000.0,545.0,40000.0,500.0,40000.0,500.0
20,42000.0,548.0,42000.0,500.0,42000.0,500.0
21,44000.0,550.0,44000.0,500.0,44000.0,500.0
22,46000.0,552.0,46000.0,500.0,46000.0,500.0
23,48000.0,555.0,48000.0,500.0,48000.0,500.0
24,50000.0,557.0,50000.0,500.0,50000.0,500.0
25,52000.0,560.0,52000.0,500.0,52000.0,500.0
26,54000.0,562.0,54000.0,500.0,54000.0,500.0
27,56000.0,564.0,56000.0,500.0,56000.0,500.0
28,58000.0,567.0,58000.0,500.0,58000.0,500.0
29,60000.0,569.0,60000.0,500.0,60000.0,500.0
30,62000.0,572.0,62000.0,500.0,62000.0,500.0
31,64000.0,574.0,64000.0,500.0,64000.0,500.0
32,66000.0,577.0,66000.0,500.0,66000.0,500.0
33,68000.0,579.0,68000.0,500.0,68000.0,500.0
34,70000.0,582.0,70000.0,500.0,70000.0,500.0
35,72000.0,584.0,72000.0,500.0,72000.0,500.0
36,74000.0,587.0,74000.0,500.0,74000.0,500.0
37,76000.0,589.0,76000.0,500.0,76000.0,500.0
38,78000.0,592.0,78000.0,500.0,78000.0,500.0
39,80000.0,595.0,80000.0,500.0,80000.0,500.0
40,82000.0,597.0,82000.0,500.0,82000.0,500.0
41,84000.0,600.0,84000.0,500.0,84000.0,500.0
42,86000.0,602.0,86000.0,500.0,86000.0,500.0
43,88000.0,605.0,88000.0,500.0,88000.0,500.0
44,90000.0,608.0,90000.0,500.0,90000.0,500.0
45,92000.0,610.0,92000.0,500.0,92000.0,500.0
46,94000.0,613.0,94000.0,500.0,94000.0,500.0
47,96000.0,615.0,96000.0,500.0,96000.0,500.0
48,98000.0,618.0,98000.0,500.0,98000.0,500.0
49,100000.0,621.0,100000.0,500.0,100000.0,500.0
50,102000.0,623.0,102000.0,500.0,102000.0,500.0
51,104000.0,626.0,104000.0,500.0,104000.0,500.0
52,106000.0,629.0,106000.0,500.0,106000.0,500.0
53,108000.0,632.0,108000.0,500.0,108000.0,500.0
54,110000.0,634.0,110000.0,500.0,110000.0,500.0
55,112000.0,637.0,112000.0,500.0,112000.0,500.0
56,114000.0,640.0,114000.0,500.0,114000.0,500.0
57,116000.0,643.0,116000.0,500.0,116000.0,500.0
58,118000.0,645.0,118000.0,500.0,118000.0,500.0
59,120000.0,648.0,120000.0,500.0,120000.0,500.0
60,122000.0,651.0,122000.0,500.0,122000.0,500.0
61,124000.0,654.0,124000.0,500.0,124000.0,500.0
62,126000.0,657.0,126000.0,500.0,126000.0,500.0
63,128000.0,660.0,128000.0,500.0,128000.0,500.0
64,130000.0,662.0,130000.0,500.0,130000.0,500.0
65,132000.0,665.0,132000.0,500.0,132000.0,500.0
66,134000.0,668.0,134000.0,500.0,134000.0,500.0
67,136000.0,671.0,136000.0,500.0,136000.0,500.0
68,138000.0,674.0,138000.0,500.0,138000.0,500.0
69,140000.0,677.0,140000.0,500.0,140000.0,500.0
70,142000.0,680.0,142000.0,500.0,142000.0,500.0
71,144000.0,683.0,144000.0,500.0,144000.0,500.0
72,146000.0,686.0,146000.0,500.0,146000.0,500.0
73,148000.0,689.0,148000.0,500.0,148000.0,500.0
74,150000.0,692.0,150000.0,500.0,150000.0,500.0
75,152000.0,695.0,152000.0,500.0,152000.0,500.0
76,154000.0,698.0,154000.0,500.0,154000.0,500.0
77,156000.0,701.0,156000.0,500.0,156000.0,500.0
78,158000.0,704.0,158000.0,500.0,158000.0,500.0
79,160000.0,707.0,160000.0,500.0,160000.0,500.0
