,Time_nATP05,Pop_nATP05,Time_nATP10,Pop_nATP10,Time_nATP15,Pop_nATP15
0,1400.0,504.0,1400.0,504.0,1400.0,504.0
1,2800.0,507.0,2800.0,507.0,2800.0,507.0
2,4200.0,511.0,4200.0,511.0,4200.0,511.0
3,5600.0,514.0,5600.0,514.0,5600.0,514.0
4,7000.0,518.0,7000.0,518.0,7000.0,518.0
5,8400.0,521.0,8400.0,521.0,8400.0,521.0
6,9800.0,525.0,9800.0,525.0,9800.0,525.0
7,11200.0,529.0,11200.0,529.0,11200.0,529.0
8,12600.0,532.0,12600.0,532.0,12600.0,532.0
9,14000.0,536.0,14000.0,536.0,14000.0,536.0
10,15400.0,540.0,15400.0,540.0,15400.0,540.0
11,16800.0,544.0,16800.0,544.0,16800.0,544.0
12,18200.0,548.0,18200.0,548.0,18200.0,548.0
13,19600.0,551.0,19600.0,551.0,19600.0,551.0
14,21000.0,555.0,21000.0,555.0,21000.0,555.0
15,22400.0,559.0,22400.0,559.0,22400.0,559.0
16,23800.0,563.0,23800.0,563.0,23800.0,563.0
17,25200.0,567.0,25200.0,567.0,25200.0,567.0
18,26600.0,571.0,26600.0,571.0,26600.0,571.0
19,28000.0,575.0,28000.0,575.0,28000.0,575.0
20,29400.0,579.0,29400.0,579.0,29400.0,579.0
21,30800.0,583.0,30800.0,583.0,30800.0,583.0
22,32200.0,587.0,32200.0,587.0,32200.0,587.0
23,33600.0,591.0,33600.0,591.0,33600.0,591.0
24,35000.0,595.0,35000.0,595.0,35000.0,595.0
25,36400.0,600.0,36400.0,600.0,36400.0,600.0
26,37800.0,604.0,37800.0,604.0,37800.0,604.0
27,39200.0,608.0,39200.0,608.0,39200.0,608.0
28,40600.0,612.0,40600.0,612.0,40600.0,612.0
29,42000.0,616.0,42000.0,616.0,42000.0,616.0
30,43400.0,621.0,43400.0,621.0,43400.0,621.0
31,44800.0,625.0,44800.0,625.0,44800.0,625.0
32,46200.0,630.0,46200.0,630.0,46200.0,630.0
33,47600.0,634.0,47600.0,634.0,47600.0,634.0
34,49000.0,638.0,49000.0,638.0,49000.0,638.0
35,50400.0,643.0,50400.0,643.0,50400.0,643.0
36,51800.0,647.0,51800.0,647.0,51800.0,647.0
37,53200.0,652.0,53200.0,652.0,53200.0,652.0
38,54600.0,656.0,54600.0,656.0,54600.0,656.0
39,56000.0,661.0,56000.0,661.0,56000.0,661.0
40,57400.0,666.0,57400.0,666.0,57400.0,666.0
41,58800.0,670.0,58800.0,670.0,58800.0,670.0
42,60200.0,675.0,60200.0,675.0,60200.0,675.0
43,61600.0,680.0,61600.0,680.0,61600.0,680.0
44,63000.0,684.0,63000.0,684.0,63000.0,684.0
45,64400.0,689.0,64400.0,689.0,64400.0,689.0
46,65800.0,694.0,65800.0,694.0,65800.0,694.0
47,67200.0,699.0,67200.0,699.0,67200.0,699.0
48,68600.0,704.0,68600.0,704.0,68600.0,704.0
49,70000.0,709.0,70000.0,709.0,70000.0,709.0
50,71400.0,714.0,71400.0,714.0,71400.0,714.0
51,72800.0,719.0,72800.0,719.0,72800.0,719.0
52,74200.0,724.0,74200.0,724.0,74200.0,724.0
53,75600.0,729.0,75600.0,729.0,75600.0,729.0
54,77000.0,734.0,77000.0,734.0,77000.0,734.0
55,78400.0,739.0,78400.0,739.0,78400.0,739.0
56,79800.0,744.0,79800.0,744.0,79800.0,744.0
57,81200.0,749.0,81200.0,749.0,81200.0,749.0
58,82600.0,755.0,82600.0,755.0,82600.0,755.0
59,84000.0,760.0,84000.0,760.0,84000.0,760.0
60,85400.0,765.0,85400.0,765.0,85400.0,765.0
61,86800.0,771.0,86800.0,771.0,86800.0,771.0
62,88200.0,776.0,88200.0,776.0,88200.0,776.0
63,89600.0,781.0,89600.0,781.0,89600.0,781.0
64,91000.0,787.0,91000.0,787.0,91000.0,787.0
65,92400.0,792.0,92400.0,792.0,92400.0,792.0
66,93800.0,798.0,93800.0,798.0,93800.0,798.0
67,95200.0,804.0,95200.0,804.0,95200.0,804.0
68,96600.0,809.0,96600.0,809.0,96600.0,809.0
69,98000.0,815.0,98000.0,815.0,98000.0,815.0
70,99400.0,821.0,99400.0,821.0,99400.0,821.0
71,100800.0,826.0,100800.0,826.0,100800.0,826.0
72,102200.0,832.0,102200.0,832.0,102200.0,832.0
73,103600.0,838.0,103600.0,838.0,103600.0,838.0
74,105000.0,844.0,105000.0,844.0,105000.0,844.0
75,106400.0,850.0,106400.0,850.0,106400.0,850.0
76,107800.0,856.0,107800.0,856.0,107800.0,856.0
77,109200.0,862.0,109200.0,862.0,109200.0,862.0
78,110600.0,868.0,110600.0,868.0,110600.0,868.0
79,112000.0,874.0,112000.0,874.0,112000.0,874.0
80,113400.0,880.0,113400.0,880.0,113400.0,880.0
