0.1mM DeltaG,0.1mM e,1mM DeltaG,1mM e,3mM DeltaG,3mM e,10mM DeltaG,10mM e,100mM DeltaG,100mM e
13.65374321,59.6277205,13.53425862,59.98568156,13.65374321,60.05727377,13.41477403,60.05727377,13.65374321,60.55841924
20.58384951,60.41523482,20.7033341,60.9163803,20.10591114,60.84478809,20.46436492,61.05956472,20.22539573,61.20274914
24.40735643,63.06414662,27.87240957,66.35738832,27.87240957,66.42898053,27.87240957,66.35738832,27.27498662,66.42898053
28.70880171,66.14261168,35.04148505,75.95074456,34.92200046,76.2371134,34.80251587,76.30870561,34.44406209,76.16552119
34.44406209,74.51890034,41.73262216,78.67124857,42.09107593,79.31557847,42.33004512,79.5303551,42.09107593,80.03150057
41.1351992,77.74054983,47.94582091,75.23482245,48.54324386,75.59278351,48.42375927,75.66437572,49.379636,75.80756014
45.79509826,76.09392898,53.32262751,70.15177549,64.07624073,59.84249714,54.51747343,69.93699885,57.02664984,68.36197022
49.97705896,71.15406644,62.52294104,60.05727377,73.75449262,51.53780069,64.31520991,59.98568156,62.88139482,62.34822451
56.66819607,58.55383734,77.33903036,44.80813288,89.76542785,41.58648339,69.33356274,55.83333333,68.85562438,57.40836197
60.85015676,49.03207331,84.03016747,38.36483391,95.9786266,38.07846506,75.90521526,51.39461627,70.52840866,55.69014891
65.8685096,36.93298969,89.16800489,32.56586483,104.8204864,32.56586483,83.5522291,47.45704467,76.50263822,51.75257732
69.57253193,27.41122566,96.93450333,23.6884307,114.9766766,26.69530355,98.24883383,42.15922108,83.91068288,48.53092784
75.90521526,15.16895762,103.5061558,16.88717068,121.9067829,23.61683849,115.3351304,36.71821306,90.36285081,46.52634593
82.35738319,10.3722795,110.3167775,12.16208477,128.9563738,21.54066438,126.0887436,34.14089347,102.9087329,43.51947308
89.0485203,9.298396334,116.8884301,10.01431844,149.2687543,18.10423826,138.9930795,32.13631157,118.5612143,41.15693013
95.85914201,8.797250859,123.2211134,9.155211913,157.1547373,17.53150057,153.3312304,28.91466208,135.6475109,40.08304696
100.1605873,8.654066438,131.226581,8.582474227,177.706087,17.31672394,167.6693814,26.40893471,157.1547373,39.43871707
166.2355663,8.510882016,141.9801942,8.439289805,NaN,NaN,182.0075323,25.12027491,188.5791848,39.29553265
NaN,NaN,152.1363845,8.439289805,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,166.59402,8.367697595,NaN,NaN,NaN,NaN,NaN,NaN
