,E,PS,PT,PG,SimID
0,0.1,2.3057354939943993e-11,2.3012321043576914e-11,2.1946115755780565e-14,15406_250420
1,0.5,2.3057438392955342e-11,2.291107770003131e-11,1.4587585276813966e-13,15417_250420
2,1.0,2.3057438348747654e-11,2.2764716963460818e-11,2.922395987434678e-13,15427_250420
3,1.5,2.3057434555467883e-11,2.2607094036806402e-11,4.4985834873771276e-13,15435_250420
4,2.0,2.3057438348668176e-11,2.2471995578096525e-11,5.849671790300191e-13,15444_250420
5,2.5,2.305743158437381e-11,2.22918528012989e-11,7.651004641916702e-13,15453_250420
6,3.0,2.3057434540730956e-11,2.2156753503983654e-11,9.002084576408301e-13,15460_250420
7,3.5,2.3057430276830983e-11,2.197661323260453e-11,1.080344243196874e-12,15466_250420
8,4.0,2.305743831926254e-11,2.1886552779612488e-11,1.1704223103564357e-12,15474_250420
9,4.5,2.3057434526029924e-11,2.1706412971770357e-11,1.3505585665798376e-12,15482_250420
10,5.0,2.3057431554566794e-11,2.1526273990396343e-11,1.5306956445727243e-12,15490_250420
11,5.5,2.3057437275398776e-11,2.1436211216972298e-11,1.6207713901327177e-12,15497_250420
12,6.0,2.3057434424853583e-11,2.1256072360411896e-11,1.8009085890435413e-12,15503_250420
13,6.5,2.305743220298142e-11,2.1075934123037706e-11,1.981046416627396e-12,15510_250420
14,7.0,2.3057430276807544e-11,2.089579618835684e-11,2.161184539909537e-12,15515_250420
15,7.5,2.3057434511332518e-11,2.08057319223352e-11,2.2512587991625196e-12,15523_250420
16,8.0,2.3057438319242677e-11,2.0715667239944594e-11,2.341332631800686e-12,15530_250420
17,8.5,2.3057436333301376e-11,2.0535529234346538e-11,2.5214706953154017e-12,15536_250420
18,9.0,2.305743451132893e-11,2.0355391404532572e-11,2.7016089227989766e-12,15543_250420
19,9.5,2.3057432937180454e-11,2.0175253820032898e-11,2.881747398106517e-12,15546_250420
20,10.0,2.3057431555978636e-11,1.9995116427450225e-11,3.0618860663607174e-12,15553_250420
