,name,e,PThrottle,PSupply,PGrowth,SimID,OrgID,T,pH
0,Methanobacterium_alcaliphilum,0.9697265625,1.053468858148922e-12,1.0863566069934503e-12,3.2875397060886295e-14,3561_220420,Methanobacterium_alcaliphilum77_220420,310.0,8.6
1,Methanobacterium_arcticum,0.98046875,1.5571627756275805e-13,1.5881819544249427e-13,3.1014474817395823e-15,3569_220420,Methanobacterium_arcticum77_220420,310.0,7.0
2,Methanobacterium_bryantii,0.94921875,2.8901812145582854e-13,3.0447999626622266e-13,1.5460735368689765e-14,3577_220420,Methanobacterium_bryantii62_220420,310.0,6.95
3,Methanobacterium_congolense,0.9931640625,1.982949707695029e-12,1.99659832908526e-12,1.3563973406283571e-14,3587_220420,Methanobacterium_congolense81_220420,312.5,7.2
4,Methanobacterium_espanolae,0.97314453125,1.1164816066617385e-12,1.147292689635344e-12,3.072571836429325e-14,3598_220420,Methanobacterium_espanolae80_220420,308.0,5.9
5,Methanobacterium_ferruginis,0.996337890625,3.2201764730515016e-13,3.232012456167349e-13,1.1811323881314424e-15,3610_220420,Methanobacterium_ferruginis95_220420,313.0,6.75
6,Methanobacterium_kanagiense,0.990234375,2.2466141043305057e-13,2.2687700619669012e-13,2.214780242599103e-15,3619_220420,Methanobacterium_kanagiense75_220420,313.0,8.0
7,Methanobacterium_movens,0.987060546875,1.6891453905281673e-13,1.711288528222452e-13,2.2133281509787665e-15,3631_220420,Methanobacterium_movens83_220420,309.5,7.5
8,Methanobacterium_palustre,0.98828125,3.519663425359768e-13,3.5613985647909117e-13,4.172781827536875e-15,3639_220420,Methanobacterium_palustre74_220420,308.0,7.0
9,Methanobacterium_petrolearium,0.9912109375,7.519893322451272e-14,7.586572179497639e-14,6.665121550378298e-16,3649_220420,Methanobacterium_petrolearium84_220420,308.0,6.5
10,Methanobacterium_thermaggregans,0.9969482421875,9.538739228865299e-12,9.567938259197322e-12,2.894328921635824e-14,3662_220420,Methanobacterium_thermaggregans96_220420,338.0,7.25
11,Methanobacterium_veterum,0.984375,1.5389167544021717e-13,1.5633440044720476e-13,2.441955471215847e-15,3668_220420,Methanobacterium_veterum67_220420,301.0,7.1
12,Methanobrevibacter_acididurans,0.9990234375,4.126435385312219e-13,4.1304690464904324e-13,3.9720242795627466e-16,3678_220420,Methanobrevibacter_acididurans86_220420,308.0,6.0
13,Methanobrevibacter_arboriphilus,0.9873046875,3.3296688418146237e-13,3.372483574696513e-13,4.275616424881094e-15,3688_220420,Methanobrevibacter_arboriphilus84_220420,306.5,7.75
14,Methanobrevibacter_curvatus,0.9949951171875,6.674467802687984e-14,6.708040760596242e-14,3.352725239592995e-16,3701_220420,Methanobrevibacter_curvatus91_220420,303.0,7.1
15,Methanobrevibacter_cuticularis,0.9952392578125,9.352891195897791e-14,9.39763089375625e-14,4.466196253807837e-16,3714_220420,Methanobrevibacter_cuticularis102_220420,310.0,7.7
16,Methanobrevibacter_filiformis,0.994873046875,8.336273918054772e-14,8.37923385726438e-14,4.288632141432984e-16,3726_220420,Methanobrevibacter_filiformis89_220420,303.0,7.1
17,Methanobrevibacter_oralis,0.9979248046875,4.952720097656104e-13,4.963019332109945e-13,1.0272826640122398e-15,3739_220420,Methanobrevibacter_oralis100_220420,309.0,7.15
18,Methanocaldococcus_fervens,0.998046875,1.0933831624125817e-09,1.0955228554897101e-09,7.039621406740555e-13,3749_220420,Methanocaldococcus_fervens82_220420,358.0,6.5
19,Methanocaldococcus_indicus,0.995849609375,4.711518482122767e-10,4.731154621910972e-10,1.8815745763737053e-12,3761_220420,Methanocaldococcus_indicus86_220420,358.0,6.5
20,Methanocaldococcus_infernus,0.9957275390625,4.508361383053858e-10,4.527705829346231e-10,1.8595830642346504e-12,3774_220420,Methanocaldococcus_infernus89_220420,358.0,6.5
21,Methanocaldococcus_jannaschii,0.998046875,6.347661948000144e-10,6.360083987037326e-10,5.27513366944334e-13,3784_220420,Methanocaldococcus_jannaschii192_220420,358.0,6.0
22,Methanocaldococcus_villosus,0.99755859375,2.1909343932733793e-10,2.1962964451414003e-10,5.200275681221373e-13,3795_220420,Methanocaldococcus_villosus87_220420,353.0,6.5
23,Methanocaldococcus_vulcanius,0.994140625,2.1833603728762944e-10,2.196228901596587e-10,1.2614277700911253e-12,3804_220420,Methanocaldococcus_vulcanius76_220420,353.0,6.5
24,Methanocella_conradii,0.9990234375,2.9063028487885826e-12,2.9091438095400865e-12,2.7920719524465808e-15,3814_220420,Methanocella_conradii89_220420,325.5,6.8
25,Methanocorpusculum_labreanum,0.98828125,1.306045181028818e-12,1.3215318827801478e-12,1.5467173302723277e-14,3822_220420,Methanocorpusculum_labreanum75_220420,310.0,7.0
26,Methanocorpusculum_parvum,0.994384765625,1.7682439585456924e-12,1.7782291318937284e-12,9.97797425537801e-15,3834_220420,Methanocorpusculum_parvum88_220420,310.0,7.15
27,Methanoculleus_chikugoensis,0.8984375,4.6486131763657685e-14,5.1741085789114643e-14,5.254882420601906e-15,3841_220420,Methanoculleus_chikugoensis60_220420,298.0,6.95
28,Methanoculleus_horonobensis,0.9921875,2.3405318062968895e-12,2.35896119059844e-12,1.8398985743726963e-14,3848_220420,Methanoculleus_horonobensis75_220420,312.5,6.75
29,Methanoculleus_hydrogenitrophicus,0.9560546875,2.1585525884237368e-13,2.2577710424370853e-13,9.918786559118888e-15,3858_220420,Methanoculleus_hydrogenitrophicus75_220420,310.0,6.6
30,Methanoculleus_palmolei,0.95703125,5.876618906673665e-13,6.140467102483503e-13,2.638335918512032e-14,3866_220420,Methanoculleus_palmolei71_220420,313.0,7.2
31,Methanofollis_liminatans,0.978515625,1.5533075815102323e-12,1.5874121391881018e-12,3.4097355791628587e-14,3875_220420,Methanofollis_liminatans78_220420,313.0,7.0
32,Methanofollis_tationis,0.7421875,4.909986996512669e-13,6.615561426880228e-13,1.7055612173517994e-13,3882_220420,Methanofollis_tationis69_220420,311.5,7.0
33,Methanogenium_frigidum,0.75,1.6902485257390278e-14,2.2536647009853705e-14,5.634100349792323e-15,3884_220420,Methanogenium_frigidum58_220420,288.0,7.7
34,Methanolacinia_paynteri,0.9974365234375,4.882888494884042e-12,4.8954378350373354e-12,1.2422808978387754e-14,3897_220420,Methanolacinia_paynteri97_220420,313.0,7.0
35,Methanolinea_mesophila,0.9921875,1.3426793659236213e-13,1.3532516443954608e-13,1.0564686070070127e-15,3904_220420,Methanolinea_mesophila77_220420,310.0,7.0
36,Methanoplanus_endosymbiosus,0.994873046875,2.27129404461408e-12,2.2829988728194534e-12,1.1596512722694128e-14,3916_220420,Methanoplanus_endosymbiosus85_220420,305.0,7.0
37,Methanopyrus_kandleri,0.998046875,1.7297857882251226e-10,1.7331708876149958e-10,3.300954856526015e-13,3925_220420,Methanopyrus_kandleri77_220420,371.0,6.5
38,Methanoregula_boonei,0.99658203125,6.755325389568336e-14,6.778494070473275e-14,2.312014027086627e-16,3936_220420,Methanoregula_boonei95_220420,309.0,5.1
39,Methanosarcina_soligelidi,0.5,4.1627548058729795e-15,8.325509611745959e-15,4.162750051347423e-15,3937_220420,Methanosarcina_soligelidi60_220420,301.0,7.8
40,Methanosarcina_spelaei,0.0,0.0,8.4005788508098e-15,8.392375139869143e-15,3947_220420,Methanosarcina_spelaei82_220420,306.0,6.5
41,Methanosphaerula_palustris,0.99658203125,2.997843573895536e-13,3.0081252520029676e-13,1.0190394226504971e-15,3958_220420,Methanosphaerula_palustris85_220420,303.0,5.5
42,Methanospirillum_psychrodurum,0.94921875,9.222485931778491e-13,9.715869952820138e-13,4.932702639539253e-14,3966_220420,Methanospirillum_psychrodurum65_220420,298.0,7.0
43,Methanothermobacter_tenebrarum,0.97998046875,8.087013822853087e-13,8.252219386747943e-13,1.651618050068851e-14,3977_220420,Methanothermobacter_tenebrarum85_220420,343.0,7.300000000000001
44,Methanothermobacter_thermautotrophicus,0.92578125,3.828359746553346e-12,4.135274662943699e-12,3.066630576668523e-13,3985_220420,Methanothermobacter_thermautotrophicus60_220420,340.5,7.4
45,Methanothermococcus_okinawensis,0.9990234375,4.67128330164286e-10,4.675849560979754e-10,4.200390162952558e-13,3995_220420,Methanothermococcus_okinawensis87_220420,335.5,6.5
