,Time_nATP05,Pop_nATP05,Time_nATP10,Pop_nATP10,Time_nATP15,Pop_nATP15
0,1400.0,514.0,1400.0,514.0,1400.0,514.0
1,2800.0,528.0,2800.0,528.0,2800.0,528.0
2,4200.0,542.0,4200.0,542.0,4200.0,542.0
3,5600.0,557.0,5600.0,557.0,5600.0,557.0
4,7000.0,572.0,7000.0,572.0,7000.0,572.0
5,8400.0,588.0,8400.0,588.0,8400.0,588.0
6,9800.0,604.0,9800.0,604.0,9800.0,604.0
7,11200.0,621.0,11200.0,621.0,11200.0,621.0
8,12600.0,638.0,12600.0,638.0,12600.0,638.0
9,14000.0,655.0,14000.0,655.0,14000.0,655.0
10,15400.0,673.0,15400.0,673.0,15400.0,673.0
11,16800.0,692.0,16800.0,692.0,16800.0,692.0
12,18200.0,711.0,18200.0,711.0,18200.0,711.0
13,19600.0,730.0,19600.0,730.0,19600.0,730.0
14,21000.0,750.0,21000.0,750.0,21000.0,750.0
15,22400.0,771.0,22400.0,771.0,22400.0,771.0
16,23800.0,792.0,23800.0,792.0,23800.0,792.0
17,25200.0,814.0,25200.0,814.0,25200.0,814.0
18,26600.0,836.0,26600.0,836.0,26600.0,836.0
19,28000.0,859.0,28000.0,859.0,28000.0,859.0
20,29400.0,882.0,29400.0,882.0,29400.0,882.0
21,30800.0,907.0,30800.0,907.0,30800.0,907.0
22,32200.0,931.0,32200.0,931.0,32200.0,931.0
23,33600.0,957.0,33600.0,957.0,33600.0,957.0
24,35000.0,983.0,35000.0,983.0,35000.0,983.0
25,36400.0,1010.0,36400.0,1010.0,36400.0,1010.0
26,37800.0,1038.0,37800.0,1038.0,37800.0,1038.0
27,39200.0,1066.0,39200.0,1066.0,39200.0,1066.0
28,40600.0,1095.0,40600.0,1095.0,40600.0,1095.0
29,42000.0,1125.0,42000.0,1125.0,42000.0,1125.0
30,43400.0,1156.0,43400.0,1156.0,43400.0,1156.0
31,44800.0,1188.0,44800.0,1188.0,44800.0,1188.0
32,46200.0,1221.0,46200.0,1221.0,46200.0,1221.0
33,47600.0,1254.0,47600.0,1254.0,47600.0,1254.0
34,49000.0,1288.0,49000.0,1288.0,49000.0,1288.0
35,50400.0,1324.0,50400.0,1324.0,50400.0,1324.0
36,51800.0,1360.0,51800.0,1360.0,51800.0,1360.0
37,53200.0,1397.0,53200.0,1397.0,53200.0,1397.0
38,54600.0,1436.0,54600.0,1436.0,54600.0,1436.0
39,56000.0,1475.0,56000.0,1475.0,56000.0,1475.0
40,57400.0,1515.0,57400.0,1515.0,57400.0,1515.0
41,58800.0,1557.0,58800.0,1557.0,58800.0,1557.0
42,60200.0,1600.0,60200.0,1600.0,60200.0,1600.0
43,61600.0,1643.0,61600.0,1643.0,61600.0,1643.0
44,63000.0,1689.0,63000.0,1688.0,63000.0,1688.0
45,64400.0,1735.0,64400.0,1735.0,64400.0,1735.0
46,65800.0,1782.0,65800.0,1782.0,65800.0,1782.0
47,67200.0,1831.0,67200.0,1831.0,67200.0,1831.0
48,68600.0,1881.0,68600.0,1881.0,68600.0,1881.0
49,70000.0,1933.0,70000.0,1933.0,70000.0,1933.0
50,71400.0,1986.0,71400.0,1986.0,71400.0,1986.0
51,72800.0,2040.0,72800.0,2040.0,72800.0,2040.0
52,74200.0,2096.0,74200.0,2096.0,74200.0,2096.0
