,Temp,GrowthRate_nATP05,FinalBiomass_nATP05,FinalCH4_nATP05,GrowthRate_nATP10,FinalBiomass_nATP10,FinalCH4_nATP10,GrowthRate_nATP15,FinalBiomass_nATP15,FinalCH4_nATP15
0,280,0.005911330049261209,2136288909.0,0.00017019086200913385,0.0047808764940239,281705160.0,0.00017019086200913385,0.003619909502262431,69263533.0,1.5762119683242862e-05
1,281,0.006152864500250564,1729029088.0,0.0001516161103151439,0.004855154555753487,238379634.0,0.0001516161103151439,0.003679928036962869,54894375.0,1.4031203906085721e-05
2,282,0.006410104223546396,1285148686.0,0.0001285728809871953,0.004921663522270658,184003218.0,0.0001285728809871953,0.003537666319451336,37075104.0,1.1521166622621967e-05
3,283,0.00698324022346375,1066805688.0,0.00011618281140718707,0.004990019960079972,153793595.0,0.00011618281140718707,0.003571428571428614,28061082.0,1.0017299329413865e-05
4,284,0.006990472245236239,795408981.0,9.92704270411405e-05,0.0050603019313487044,113078561.0,9.92704270411405e-05,0.0030434709094906264,16422689.0,7.655055010328106e-06
5,285,0.007223113964686873,597282596.0,8.537938370149009e-05,0.005122367672168464,81165542.0,8.537938370149009e-05,0.002571428571428574,8423007.0,5.4791512753875315e-06
6,286,0.007612925054982209,489367621.0,7.694212191778598e-05,0.005196604884808587,63398854.0,7.694212191778598e-05,0.0026086956521739154,4714572.0,4.101476008002797e-06
7,287,0.007816118573413603,395142039.0,6.878563469794341e-05,0.005273025544879301,47785762.0,6.878563469794341e-05,0.0026470588235294142,3141023.0,3.3524959213841697e-06
8,288,0.007964131909621806,307985829.0,6.042188828458013e-05,0.005341087801548983,33373064.0,6.042188828458013e-05,0.002686567164179107,143341.0,2.6870812819067857e-07
9,289,0.008149221296631648,268964243.0,5.642220251108647e-05,0.005432814197754432,27256184.0,5.642220251108647e-05,0.0027272727272727297,38343.0,1.207429428627194e-07
10,290,0.008328513591671425,221597439.0,5.1109513345349534e-05,0.005505428964673568,19888306.0,5.1109513345349534e-05,0.0,500.0,3.0002984208636976e-08
11,291,0.008587786259542061,167810153.0,4.433877435129499e-05,0.005296610169491581,11895937.0,4.433877435129499e-05,0.0,500.0,3.000335311513245e-08
12,292,0.008605851979346062,133321352.0,3.9363374128088294e-05,0.0047778308647873835,7327876.0,3.9363374128088294e-05,0.0,500.0,3.000376670584731e-08
13,293,0.009058426853203282,110276267.0,3.580840082244559e-05,0.0044189129474150966,4637885.0,3.580840082244559e-05,0.0,500.0,3.000423024490762e-08
14,294,0.009221311475409968,87985775.0,3.1934410782223866e-05,0.0037070598896119284,2401486.0,3.1934410782223866e-05,0.0,500.0,3.000474959218959e-08
15,295,0.009852216748768461,68333280.0,2.8068034542586114e-05,0.0030000000000000027,878983.0,2.8068034542586114e-05,0.0,500.0,3.000533126661333e-08
16,296,0.009358427784132211,50719813.0,2.4140346235694455e-05,0.0030508474576271213,88020.0,2.4140346235694455e-05,0.0,500.0,3.0005982515433794e-08
17,297,0.00993103448275856,42156365.0,2.200978771939575e-05,0.0,500.0,2.200978771939575e-05,0.0,500.0,3.000671138996129e-08
18,298,0.010186757215619544,33661725.0,1.9673888848981755e-05,0.0,500.0,1.9673888848981755e-05,0.0,500.0,3.000752682814536e-08
19,299,0.00960443938531587,22038071.0,1.5869375310576108e-05,0.0,500.0,1.5869375310576108e-05,0.0,500.0,3.000843874445117e-08
20,300,0.010714285714285676,18646610.0,1.458604516118809e-05,0.0,500.0,1.458604516118809e-05,0.0,500.0,3.00085982977132e-08
21,301,0.010671936758893219,13941266.0,1.2603546180785913e-05,0.0,500.0,1.2603546180785913e-05,0.0,500.0,3.0009812171751655e-08
22,302,0.010150375939849798,8826999.0,1.0006891004271007e-05,0.0,500.0,1.0006891004271007e-05,0.0,500.0,3.0011197415767125e-08
23,303,0.010305343511450448,6926593.0,8.867746880695647e-06,0.0,500.0,8.867746880695647e-06,0.0,500.0,3.0012778223097395e-08
24,304,0.009523809523809624,4349042.0,7.017872254689435e-06,0.0,500.0,7.017872254689435e-06,0.0,500.0,3.001458220259924e-08
25,305,0.00835913312693508,2673320.0,5.503924690612038e-06,0.0,500.0,5.503924690612038e-06,0.0,500.0,3.001664086083734e-08
26,306,0.00718562874251516,1426802.0,4.01607066607793e-06,0.0,500.0,4.01607066607793e-06,0.0,500.0,3.001899015234671e-08
27,307,0.0067796610169492235,534461.0,2.459773842184263e-06,0.0,500.0,2.459773842184263e-06,0.0,500.0,3.0021671107578717e-08
28,308,0.0043113772455090965,163811.0,1.368949066582431e-06,0.0,500.0,1.368949066582431e-06,0.0,500.0,3.002473054949768e-08
29,309,0.003600000000000003,38626.0,6.757705286905762e-07,0.0,500.0,6.757705286905762e-07,0.0,500.0,3.002822191134344e-08
30,310,0.0,500.0,3.003220616984183e-08,0.0,500.0,3.003220616984183e-08,0.0,500.0,3.003220616984183e-08
31,311,0.0,500.0,3.003675291016147e-08,0.0,500.0,3.003675291016147e-08,0.0,500.0,3.003675291016147e-08
32,312,0.0,500.0,3.0041941541215986e-08,0.0,500.0,3.0041941541215986e-08,0.0,500.0,3.0041941541215986e-08
33,313,0.0,500.0,3.0047862682536596e-08,0.0,500.0,3.0047862682536596e-08,0.0,500.0,3.004786268253659e-08
34,314,0.0,500.0,3.0054619746936444e-08,0.0,500.0,3.0054619746936444e-08,0.0,500.0,3.0054619746936444e-08
35,315,0.0,500.0,3.006233074660697e-08,0.0,500.0,3.006233074660697e-08,0.0,500.0,3.006233074660697e-08
36,316,0.0,500.0,3.0071130354189276e-08,0.0,500.0,3.0071130354189276e-08,0.0,500.0,3.0071130354189276e-08
37,317,0.0,500.0,3.00811722548158e-08,0.0,500.0,3.00811722548158e-08,0.0,500.0,3.008117225481578e-08
38,318,0.0,500.0,3.0092631830199274e-08,0.0,500.0,3.0092631830199274e-08,0.0,500.0,3.0092631830199254e-08
39,319,0.0,500.0,3.0105709221644814e-08,0.0,500.0,3.0105709221644814e-08,0.0,500.0,3.010570922164479e-08
40,320,0.0,500.0,3.008444299654678e-08,0.0,500.0,3.008444299654678e-08,0.0,500.0,3.008444299654675e-08
41,321,0.0,500.0,3.0137663281932485e-08,0.0,500.0,3.0137663281932485e-08,0.0,500.0,3.0137663281932425e-08
42,322,0.0,500.0,3.0157098027161867e-08,0.0,500.0,3.0157098027161867e-08,0.0,500.0,3.015709802716178e-08
43,323,0.0,500.0,3.0179276487865584e-08,0.0,500.0,3.0179276487865584e-08,0.0,500.0,3.017927648786545e-08
44,324,0.0,500.0,3.020458600925096e-08,0.0,500.0,3.020458600925096e-08,0.0,500.0,3.020458600925077e-08
45,325,0.0,500.0,3.011673439533458e-08,0.0,500.0,3.011673439533458e-08,0.0,500.0,3.011673439533443e-08
46,326,0.0,500.0,3.026642875133008e-08,0.0,500.0,3.026642875133008e-08,0.0,500.0,3.0266428751329684e-08
47,327,0.0,500.0,3.03040420480979e-08,0.0,500.0,3.03040420480979e-08,0.0,500.0,3.030404204809731e-08
48,328,0.0,500.0,3.034696542055235e-08,0.0,500.0,3.034696542055235e-08,0.0,500.0,3.034696542055149e-08
49,329,0.0,500.0,3.039594851752067e-08,0.0,500.0,3.039594851752067e-08,0.0,500.0,3.0395948517519435e-08
50,330,0.0,500.0,3.045184681821736e-08,0.0,500.0,3.045184681821736e-08,0.0,500.0,3.045184681821558e-08
