,Temp,GrowthRate_nATP05,FinalBiomass_nATP05,FinalCH4_nATP05,GrowthRate_nATP10,FinalBiomass_nATP10,FinalCH4_nATP10,GrowthRate_nATP15,FinalBiomass_nATP15,FinalCH4_nATP15
0,280,0.007086614173228334,5103831.0,2.0571279892940496e-06,0.007086614173228334,5011357.0,1.5516784650850928e-05,0.007086614173228334,5114476.0,1.1979334855863546e-05
1,281,0.007239382239382213,5122165.0,2.9514222436618382e-06,0.007239382239382213,5010185.0,1.7682839533873096e-05,0.007239382239382213,5120555.0,1.4016473373905095e-05
2,282,0.007426968146558931,5134451.0,4.4539974682628315e-06,0.007426968146558931,5007299.0,2.005053127922993e-05,0.007426968146558931,5011970.0,2.0066879947084166e-05
3,283,0.008077544426494387,5006478.0,2.274019566311666e-05,0.008077544426494387,5012092.0,2.2762295365005132e-05,0.008077544426494387,5010457.0,2.275507456578315e-05
4,284,0.008380863694564106,5008461.0,2.5668015054821975e-05,0.008380863694564106,5011620.0,2.5681472812522502e-05,0.008380863694564106,5011710.0,2.568145760346376e-05
5,285,0.00871670702179163,5160681.0,1.1015662336308783e-05,0.00871670702179163,5154709.0,2.2616588954281562e-05,0.00871670702179163,5148526.0,2.645526377300846e-05
6,286,0.009590792838874646,5012378.0,3.250555337977315e-05,0.009590792838874646,5012141.0,3.250332581063644e-05,0.009590792838874646,5010341.0,2.4822258913785045e-05
7,287,0.010161454217003488,5010988.0,3.6418601549916375e-05,0.010161454217003488,5012450.0,3.642652891738147e-05,0.010340073529411764,5148378.0,2.3821499854761275e-05
8,288,0.010556256047854899,5007471.0,4.063194212648741e-05,0.010556256047854899,5178668.0,3.361922053210575e-05,0.010556256047854899,5153824.0,2.1428325616072878e-05
9,289,0.011307100859339765,5009647.0,4.530492429317832e-05,0.011307100859339765,5186164.0,3.209037887829621e-05,0.011122645706658723,5176630.0,2.0799741956437866e-05
10,290,0.012019230769230803,5013006.0,5.029045920469969e-05,0.012019230769230803,5191575.0,3.009541194294842e-05,0.012019230769230803,5163424.0,1.926505973396265e-05
11,291,0.012511120996441319,5231317.0,3.930979309337599e-05,0.012511120996441319,5012804.0,2.752945777725315e-05,0.012511120996441319,5185745.0,1.768556765668489e-05
12,292,0.013130252100840447,5240461.0,4.753940338917411e-05,0.013130252100840447,5203350.0,2.560200523666423e-05,0.013130252100840447,5007783.0,1.6492418957625568e-05
13,293,0.014175907258064516,5005438.0,5.434491069157186e-05,0.014175907258064516,5012493.0,2.4119276917515252e-05,0.014175907258064516,5081906.0,1.5569169162381625e-05
14,294,0.014656389099989056,5266597.0,5.031635986258455e-05,0.014656389099989056,5225660.0,2.253281390368657e-05,0.014656389099989056,5203694.0,1.4577945118513815e-05
15,295,0.015734265734265618,5272322.0,4.632568338702915e-05,0.015734265734265618,5200283.0,2.093317805060951e-05,0.015734265734265618,5011034.0,1.3572774315945841e-05
16,296,0.01637306327885763,5277934.0,4.22632213744815e-05,0.01637306327885763,5009938.0,1.9270942329715727e-05,0.01637306327885763,5207627.0,1.2537378851140957e-05
17,297,0.017904509283819564,5010961.0,3.9964666732402936e-05,0.017904509283819564,5243504.0,1.832017621317177e-05,0.017904509283819564,5088976.0,1.1934637025276234e-05
18,298,0.018759770713913514,5010099.0,3.748001083109629e-05,0.018759770713913514,5237630.0,1.7282009221721265e-05,0.018759770713913514,5204251.0,1.1278960122286623e-05
19,299,0.01924721984602239,5274885.0,3.360690660263399e-05,0.01924721984602239,5246809.0,1.5644557092858445e-05,0.01924721984602239,5009756.0,1.0234709125987665e-05
20,300,0.02153846153846146,5205443.0,3.219489778595829e-05,0.02153846153846146,5259321.0,1.5031745220385496e-05,0.02117647058823522,5125305.0,9.703320146298447e-06
21,301,0.022786458333333332,5247783.0,3.0113435203942475e-05,0.022786458333333332,5265317.0,1.4137031843360604e-05,0.022786458333333332,5220461.0,9.29166531092168e-06
22,302,0.023512336719883883,5313494.0,2.7445299021525367e-05,0.023512336719883883,5120290.0,1.2979829083731614e-05,0.023491684689387587,5006574.0,8.486018676856707e-06
23,303,0.025452488687782715,5284499.0,2.6191538485432355e-05,0.025452488687782715,5249583.0,1.2427383463371064e-05,0.02592912705272262,5207784.0,8.159289168110246e-06
24,304,0.027097211245342638,5347203.0,2.425028857908017e-05,0.027097211245342638,5263718.0,1.1586385944294312e-05,0.027097211245342638,5184921.0,7.657114561513894e-06
25,305,0.028526148969889052,5298367.0,2.2654252692563333e-05,0.028526148969889052,5266987.0,1.0864975603488547e-05,0.029241877256317706,5192193.0,7.30117731830716e-06
26,306,0.031131096506399086,5355437.0,2.1086096753017837e-05,0.031131096506399086,5253132.0,1.0177459103169106e-05,0.030612244897959072,5208451.0,6.883364945749417e-06
27,307,0.031904450261779904,5318333.0,1.9450946592276702e-05,0.031904450261779904,5195527.0,9.446893533003046e-06,0.031904450261779904,5143534.0,6.307076792554357e-06
28,308,0.03413357606098532,5342211.0,1.827657839781537e-05,0.03413357606098532,5228915.0,8.941215232040347e-06,0.03413357606098532,5143605.0,5.983735832845414e-06
29,309,0.03721644612476376,5323865.0,1.7514322496465275e-05,0.03721644612476376,5244998.0,8.585924736945831e-06,0.03714914694551478,5157900.0,5.77502300455381e-06
30,310,0.03886925795052987,5326192.0,1.586681640385948e-05,0.03886925795052987,5186912.0,7.845321915560591e-06,0.03886925795052987,5079491.0,5.31041001347545e-06
31,311,0.04253308128544419,5314458.0,1.5310553198315963e-05,0.04253308128544419,5209247.0,7.6189348942155984e-06,0.04291163382072486,5097237.0,5.234431116479581e-06
32,312,0.04446483396266361,5348164.0,1.427897953570135e-05,0.04446483396266361,5175145.0,7.1633360783747395e-06,0.044659102186641805,5038055.0,4.951611276166103e-06
33,313,0.04621848739495782,5301244.0,1.3172704252700741e-05,0.04621848739495782,5118885.0,6.656856812277e-06,0.04744333157617274,4323367.0,4.517631684212079e-06
34,314,0.05123264877173013,5331788.0,1.2780066323617294e-05,0.05123264877173013,5113723.0,6.507573320906476e-06,0.050734713818633016,4009197.0,4.402205521327794e-06
35,315,0.05506993006992983,5299046.0,1.2064837543749429e-05,0.05506993006992983,5044507.0,6.156815437311287e-06,0.053811659192824934,3440556.0,4.097565951403891e-06
36,316,0.05748699698877641,5269278.0,1.1373285148492183e-05,0.05748699698877641,4638924.0,5.837608247022164e-06,0.05538461538461543,2921789.0,3.794814220277027e-06
37,317,0.059036888408704996,5219336.0,1.055596455427233e-05,0.059036888408704996,3888478.0,5.382510697734699e-06,0.06276734238422906,2782539.0,3.753849094747064e-06
38,318,0.06408164476221542,5204234.0,1.008270777537201e-05,0.06353368293666806,3462181.0,5.124740906407994e-06,0.06353368293666806,2282152.0,3.383166168783888e-06
39,319,0.06828978622327786,5152298.0,9.644430877121205e-06,0.06828978622327786,3063015.0,4.8326032671907436e-06,0.07017543859649145,2057706.0,3.253694383344072e-06
40,320,0.07288629737609328,5086329.0,9.179197535448468e-06,0.07288629737609328,2683379.0,4.542570832785007e-06,0.07288629737609328,1771166.0,3.0208104125342538e-06
41,321,0.07648003021433294,4677430.0,8.515168051178859e-06,0.07648003021433294,2272528.0,4.2027417959795924e-06,0.07648003021433294,1500765.0,2.8177981434111846e-06
42,322,0.08478568064060323,4373481.0,8.318707636717309e-06,0.08478568064060323,2126673.0,4.11639145576411e-06,0.08491508491508461,1413612.0,2.761242824770188e-06
43,323,0.09087237479806123,3862103.0,7.925279829894236e-06,0.09087237479806123,1881249.0,3.922886820362588e-06,0.09087237479806123,1243732.0,2.6144606670099995e-06
44,324,0.09536143159877532,3201867.0,7.200600246202314e-06,0.09536143159877532,1563355.0,3.5989622312411614e-06,0.09536143159877532,1034368.0,2.3958178751088485e-06
45,325,0.1017268445839873,2894185.0,6.747906092947691e-06,0.1017268445839873,1414332.0,3.346082380950141e-06,0.1017268445839873,936097.0,2.2265456113873314e-06
46,326,0.10895883777239719,2575211.0,6.532947673097772e-06,0.10875663544948427,1260214.0,3.265283258446369e-06,0.10914267636823805,840150.0,2.198811811086226e-06
47,327,0.11605741197577901,2271794.0,6.204075703393158e-06,0.11759581881533111,1113016.0,3.113377525479967e-06,0.11430603535866722,716196.0,2.031495407640374e-06
48,328,0.1258992805755395,1996896.0,5.857691464693061e-06,0.1258992805755395,979871.0,2.9134423533838263e-06,0.1258992805755395,649394.0,1.9429853708904285e-06
49,329,0.13365013365013337,1714643.0,5.444288235474503e-06,0.13365013365013337,842457.0,2.7332033275728334e-06,0.13365013365013337,558618.0,1.8177370970653846e-06
50,330,0.14168157423971392,1516084.0,5.156569278751222e-06,0.14168157423971392,745422.0,2.5646688883496747e-06,0.14052044609665454,482357.0,1.6983504054929106e-06
